Year,natural_gas,fuel_oil,propane,electricity
2020,0.069624573,0.076791809,0.076791809,0.14913054
2021,0.069624573,0.076791809,0.076791809,0.14913054
2022,0.069624573,0.076791809,0.076791809,0.14913054
2023,0.069624573,0.076791809,0.076791809,0.14913054
2024,0.069624573,0.076791809,0.076791809,0.14913054
2025,0.091365376,0.104963669,0.100354091,0.150621845
2026,0.093827839,0.106143296,0.10139543,0.152128064
2027,0.096401445,0.107351417,0.102461116,0.153649344
2028,0.099091393,0.108588819,0.103551809,0.155185838
2029,0.101903129,0.10985631,0.104668189,0.156737696
2030,0.104842361,0.111154723,0.105810959,0.158305073
2031,0.107915072,0.112484914,0.106980837,0.159888124
2032,0.111127531,0.113847765,0.108178565,0.161487005
2033,0.114486308,0.115244183,0.109404908,0.163101875
2034,0.117998291,0.116675102,0.110660648,0.164732894
2035,0.121670697,0.118141484,0.111946596,0.166380223
2036,0.125511093,0.119644316,0.113263582,0.168044025
2037,0.129527409,0.121184619,0.114612462,0.169724465
2038,0.133727958,0.122763438,0.115994117,0.17142171
2039,0.138121455,0.124381854,0.117409453,0.173135927
2040,0.142717034,0.126040976,0.118859403,0.174867287
2041,0.147524272,0.127741946,0.120344927,0.176615959
2042,0.152553207,0.129485942,0.121867012,0.178382119
2043,0.157814366,0.131274174,0.123426676,0.18016594
2044,0.163318782,0.133107888,0.125024965,0.1819676
2045,0.169078025,0.134988367,0.126662956,0.183787276
2046,0.175104223,0.136916932,0.128341758,0.185625148
2047,0.181410094,0.138894941,0.130062512,0.1874814
2048,0.188008974,0.140923794,0.131826392,0.189356214
2049,0.194914843,0.143004931,0.133634608,0.191249776
2050,0.202142363,0.145139835,0.135488402,0.193162274
2051,0.209706906,0.147330033,0.137389057,0.195093896
2052,0.217624594,0.149577095,0.13933789,0.197044835
2053,0.225912332,0.151882639,0.141336258,0.199015284
2054,0.234587846,0.154248331,0.143385558,0.201005437
2055,0.243669727,0.156675884,0.145487228,0.203015491
2056,0.253177471,0.159167063,0.147642747,0.205045646
2057,0.263131525,0.161723685,0.14985364,0.207096102
2058,0.273553332,0.164347621,0.152121475,0.209167063
2059,0.28446538,0.167040796,0.154447865,0.211258734
2060,0.295891257,0.169805192,0.156834473,0.213371321
2061,0.3078557,0.17264285,0.15928301,0.215505035
2062,0.320384657,0.175555872,0.161795236,0.217660085
2063,0.333505341,0.17854642,0.164372966,0.219836686
2064,0.347246297,0.181616723,0.167018064,0.222035053
2065,0.361637466,0.184769071,0.169732453,0.224255403
