building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_714592_2938902,27641.00,2315.00,2757.00,1508.00,34221.00,2031
F_714723_2938816,26529.00,2315.00,2497.00,1508.00,32849.00,2025
F_714815_2939003,20871.00,2575.00,2497.00,1767.00,27711.00,2025
F_714897_2938859,27296.00,2575.00,2757.00,1767.00,34395.00,2025
F_714956_2939056,23582.00,2575.00,2757.00,1767.00,30681.00,2025
F_715018_2938902,33742.00,2575.00,2757.00,1767.00,40841.00,2025
F_715074_2938797,29018.00,2575.00,2757.00,1767.00,36118.00,2025
F_715113_2939056,32766.00,2315.00,2497.00,1508.00,39086.00,2025
F_715117_2938698,23563.00,2315.00,2497.00,1508.00,29884.00,2025
F_715195_2938669,19839.00,2315.00,2497.00,1508.00,26160.00,2041
F_715218_2938954,24018.00,2575.00,2757.00,1508.00,30858.00,2025
F_715268_2938629,23650.00,2315.00,2497.00,1767.00,30230.00,2025
F_715284_2938843,34840.00,2575.00,2757.00,1767.00,41939.00,2025
F_715382_2938560,26339.00,2315.00,2757.00,1508.00,32919.00,2025
F_715419_2938797,28201.00,2575.00,2497.00,1767.00,35040.00,2025
F_715497_2938593,23925.00,2575.00,2757.00,1767.00,31024.00,2025
F_715583_2938646,39045.00,2315.00,2497.00,1508.00,45365.00,2025
F_715583_2938872,22866.00,2575.00,2757.00,1767.00,29965.00,2025
F_715674_2938757,34856.00,5171.00,2757.00,1767.00,44551.00,2025
F_753409_2716987,73350.00,11576.00,11028.00,8836.00,104790.00,2025
F_753421_2717033,73698.00,12874.00,9990.00,8836.00,105399.00,2025
F_753432_2717080,65262.00,11187.00,11028.00,8836.00,96313.00,2025
F_753569_2717047,48021.00,9002.00,7492.00,7069.00,71583.00,2025
F_753492_2717319,19739.00,5799.00,2757.00,3015.00,31310.00,2025
F_753581_2717093,82410.00,11576.00,11028.00,8836.00,113850.00,2025
F_753474_2717148,48592.00,6427.00,5514.00,5302.00,65834.00,2025
F_753588_2717245,17075.00,3873.00,2497.00,1767.00,25212.00,2025
F_753480_2717271,51511.00,7725.00,5514.00,4523.00,69273.00,2025
F_753629_2717285,58453.00,9023.00,5514.00,5302.00,78291.00,2025
F_753504_2717366,76501.00,11966.00,11028.00,8836.00,108331.00,2025
F_753515_2717411,83802.00,12723.00,13785.00,10604.00,120914.00,2025
F_753646_2717355,45753.00,7076.00,5514.00,4523.00,62866.00,2025
F_753526_2717454,34861.00,5150.00,2757.00,3535.00,46302.00,2025
F_753663_2717423,38171.00,5799.00,2757.00,3015.00,49742.00,2025
F_753674_2717470,46750.00,5778.00,5514.00,5302.00,63343.00,2025
