building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_715284_2938843,26807.13087,2315.275,1341.4,1767.25,32231.05587,2031
F_715018_2938902,24836.7742,2574.875,1341.4,1767.25,30520.2992,2040
F_715583_2938646,28739.94489,2574.875,1341.4,1507.65,34163.86989,2045
F_715674_2938757,25656.53904,2315.275,1341.4,1507.65,30820.86404,2025
F_715113_2939056,24726.68019,2574.875,1341.4,1767.25,30410.20519,2048
F_714897_2938859,19650.93629,2574.875,1341.4,1767.25,25334.46129,2037
F_715382_2938560,18959.18461,2315.275,1341.4,1767.25,24383.10961,2036
F_715583_2938872,16459.67665,2574.875,1341.4,1767.25,22143.20165,2048
F_715497_2938593,17221.50213,2315.275,1341.4,1507.65,22385.82713,2035
F_715074_2938797,20888.20584,2315.275,1341.4,1767.25,26312.13084,2041
F_715117_2938698,16961.54001,2315.275,1341.4,1767.25,22385.46501,2027
F_715195_2938669,14280.77371,2315.275,1341.4,1507.65,19445.09871,2028
F_715268_2938629,17023.64047,2315.275,1341.4,1767.25,22447.56547,2043
F_714815_2939003,15023.71204,2574.875,1341.4,1767.25,20707.23704,2042
F_715218_2938954,17289.09449,2574.875,1341.4,1767.25,22972.61949,2043
F_714956_2939056,16974.63267,2574.875,1341.4,1767.25,22658.15767,2032
F_715419_2938797,20776.00295,2574.875,1341.4,1507.65,26199.92795,2037
F_714592_2938902,28138.38999,2315.275,1341.4,1767.25,33562.31499,2045
F_714723_2938816,27006.34667,2315.275,1341.4,1507.65,32170.67167,2037
F_753646_2717355,35119.13495,7724.625,2682.8,5301.75,50828.30995,2041
F_753674_2717470,29728.31163,6945.825,2682.8,5301.75,44658.68663,2043
F_753569_2717047,36859.31768,10039.9,4024.2,6030.6,56954.01768,2032
F_753629_2717285,37170.29766,8243.825,2682.8,5301.75,53398.67266,2038
F_753581_2717093,52404.5919,12095.575,5365.6,8836.25,78702.0169,2037
F_753663_2717423,24273.06481,4630.55,1341.4,3534.5,33779.51481,2045
F_753474_2717148,30899.86467,7205.425,2682.8,5301.75,46089.83967,2043
F_753492_2717319,8955.379566,3613.275,1341.4,1507.65,15417.70457,2035
F_753421_2717033,42651.06219,12874.375,5365.6,8836.25,69727.28719,2026
F_753432_2717080,41500.18461,13133.975,5365.6,8836.25,68836.00961,2026
F_753515_2717411,54276.22293,13891.65,6707,10603.5,85478.37293,2035
F_753480_2717271,32756.14896,8243.825,2682.8,5301.75,48984.52396,2040
F_753409_2716987,46643.41206,12874.375,5365.6,7538.25,72421.63706,2042
F_753504_2717366,44272.87651,12095.575,5365.6,8836.25,70570.30151,2030
F_753526_2717454,22168.02111,4630.55,1341.4,3534.5,31674.47111,2028
F_753588_2717245,12290.93305,2315.275,1341.4,1767.25,17714.85805,2043
