building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_715284_2938843,29266.36072,239.125,245,239.125,29989.61072,2025
F_715018_2938902,27115.24767,239.125,245,239.125,27838.49767,2034
F_715583_2938646,31376.48703,239.125,245,239.125,32099.73703,2025
F_715674_2938757,28010.21601,239.125,245,239.125,28733.46601,2025
F_715113_2939056,27187.87664,239.125,245,239.125,27911.12664,2025
F_714897_2938859,21606.91316,239.125,245,239.125,22330.16316,2025
F_715382_2938560,20937.60408,239.125,245,239.125,21660.85408,2025
F_715583_2938872,18177.26869,239.125,245,239.125,18900.51869,2025
F_715497_2938593,19018.59181,239.125,245,239.125,19741.84181,2025
F_715074_2938797,23067.92157,239.125,245,239.125,23791.17157,2029
F_715117_2938698,18731.50225,239.125,245,239.125,19454.75225,2025
F_715195_2938669,0,0,0,0,0,2025
F_715268_2938629,18800.08298,239.125,245,239.125,19523.33298,2025
F_714815_2939003,16591.45901,239.125,245,239.125,17314.70901,2025
F_715218_2938954,19093.23754,239.125,245,239.125,19816.48754,2025
F_714956_2939056,18745.96115,239.125,245,239.125,19469.21115,2025
F_715419_2938797,22766.61243,239.125,245,239.125,23489.86243,2025
F_714592_2938902,31074.67335,239.125,245,239.125,31797.92335,2025
F_714723_2938816,0,0,0,0,0,2025
F_753646_2717355,42606.25938,717.375,490,717.375,44531.00938,2025
F_753674_2717470,36066.15476,956.5,490,717.375,38230.02976,2025
F_753569_2717047,44717.43542,717.375,735,956.5,47126.31042,2025
F_753629_2717285,45094.7139,1195.625,490,717.375,47497.7139,2025
F_753581_2717093,63576.84032,478.25,980,1195.625,66230.71532,2025
F_753663_2717423,29447.89205,717.375,245,478.25,30888.51705,2025
F_753474_2717148,37487.47373,239.125,490,717.375,38933.97373,2025
F_753492_2717319,9889.886909,1195.625,245,239.125,11569.63691,2025
F_753421_2717033,48428.29017,1195.625,980,1195.625,51799.54017,2025
F_753432_2717080,50347.69882,1434.75,980,1195.625,53958.07382,2025
F_753515_2717411,65847.48842,717.375,1225,1434.75,69224.61342,2025
F_753480_2717271,39739.50329,1195.625,490,717.375,42142.50329,2025
F_753409_2716987,56587.42208,1195.625,980,1195.625,59958.67208,2025
F_753504_2717366,50269.78462,478.25,980,1195.625,52923.65962,2025
F_753526_2717454,26894.06954,239.125,245,478.25,27856.44454,2025
F_753588_2717245,13573.51043,0,245,239.125,14057.63543,2025
