building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,next_retrofit_year
F_715284_2938843,34913.11097,2315.275,2757,1767.25,41752.63597,2031
F_715018_2938902,32346.95492,2574.875,2497.4,1767.25,39186.47992,2040
F_715583_2938646,37430.37216,2574.875,2757,1507.65,44269.89716,2045
F_715674_2938757,33414.60147,2315.275,2497.4,1507.65,39734.92647,2025
F_715113_2939056,32839.14248,2574.875,2757,1767.25,39938.26748,2048
F_714897_2938859,26098.12121,2574.875,2757,1767.25,33197.24621,2037
F_715382_2938560,24916.13232,2315.275,2757,1767.25,31755.65732,2036
F_715583_2938872,21631.28266,2574.875,2497.4,1767.25,28470.80766,2048
F_715497_2938593,22632.47258,2315.275,2757,1507.65,29212.39758,2035
F_715074_2938797,27451.24916,2315.275,2757,1767.25,34290.77416,2041
F_715117_2938698,22290.83074,2315.275,2497.4,1767.25,28870.75574,2027
F_715195_2938669,18767.77165,2315.275,2497.4,1507.65,25088.09665,2028
F_715268_2938629,22372.44307,2315.275,2497.4,1767.25,28952.36807,2043
F_714815_2939003,19744.1401,2574.875,2757,1767.25,26843.2651,2042
F_715218_2938954,22721.30236,2574.875,2757,1767.25,29820.42736,2043
F_714956_2939056,22308.0371,2574.875,2497.4,1767.25,29147.5621,2032
F_715419_2938797,26769.65433,2574.875,2757,1507.65,33609.17933,2037
F_714592_2938902,36979.43043,2315.275,2497.4,1767.25,43559.35543,2045
F_714723_2938816,35491.70077,2315.275,2497.4,1507.65,41812.02577,2037
F_753646_2717355,38358.07428,7724.625,5514,5301.75,56898.44928,2041
F_753674_2717470,32470.07044,6945.825,5514,5301.75,50231.64544,2043
F_753569_2717047,40258.74918,10039.9,7492.2,6030.6,63821.44918,2032
F_753629_2717285,40598.40997,8243.825,4994.8,5301.75,59138.78497,2038
F_753581_2717093,57237.72045,12095.575,11028,8836.25,89197.54545,2037
F_753663_2717423,26511.7015,4630.55,2497.4,3534.5,37174.1515,2045
F_753474_2717148,33749.67253,7205.425,4994.8,5301.75,51251.64753,2043
F_753492_2717319,11769.14656,3613.275,2497.4,1507.65,19387.47156,2035
F_753421_2717033,38545.2079,12874.375,11028,8836.25,71283.8329,2026
F_753432_2717080,45327.63025,13133.975,11028,8836.25,78325.85525,2026
F_753515_2717411,59281.96675,13891.65,13785,10603.5,97562.11675,2035
F_753480_2717271,35777.15672,8243.825,5514,5301.75,54836.73172,2040
F_753409_2716987,50945.20315,12874.375,11028,7538.25,82385.82815,2042
F_753504_2717366,40010.89637,12095.575,11028,8836.25,71970.72137,2030
F_753526_2717454,24212.51553,4630.55,2497.4,3534.5,34874.96553,2028
F_753588_2717245,16152.72601,2315.275,2757,1767.25,22992.25101,2043
