building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,12308.45,2315.28,1341.40,1507.65,17472.77
F_350331_2902122,12308.45,2315.28,1341.40,1507.65,17472.77
F_350330_2902182,13547.08,2315.28,1341.40,1507.65,18711.40
F_350331_2902242,12772.35,2315.28,1341.40,1507.65,17936.67
F_350332_2902301,14811.11,2315.28,1341.40,1507.65,19975.43
F_350333_2902360,13483.23,2315.28,1341.40,1507.65,18647.55
F_350334_2902417,13483.23,2315.28,1341.40,1507.65,18647.55
F_350335_2902479,12351.70,2315.28,1341.40,1507.65,17516.02
F_350460_2902490,12308.45,2574.88,1341.40,1507.65,17732.37
F_350459_2902427,12308.45,2574.88,1341.40,1507.65,17732.37
F_350459_2902366,15074.71,2315.28,1341.40,1507.65,20239.03
F_350459_2902307,14033.79,2315.28,1341.40,1767.25,19457.71
F_350459_2902248,13118.75,2315.28,1341.40,1507.65,18283.07
F_350458_2902189,13793.81,2315.28,1341.40,1507.65,18958.13
F_350458_2902131,12308.45,2574.88,1341.40,1507.65,17732.37
F_350457_2902072,13284.00,2574.88,1341.40,1767.25,18967.53
F_353059_2906776,19295.59,2704.68,1341.40,1507.65,24849.32
F_353062_2906646,36433.15,4630.55,1341.40,3015.30,45420.40
F_353064_2906586,34867.80,4630.55,1341.40,3015.30,43855.05
F_353079_2906099,35680.02,4630.55,1341.40,3015.30,44667.27
F_353079_2906053,33048.36,4630.55,1341.40,3015.30,42035.61
F_353081_2906005,35575.13,4630.55,1341.40,3015.30,44562.38
F_353083_2905948,32439.68,5149.75,1341.40,3534.50,42465.33
F_353084_2905882,36234.99,5149.75,1341.40,3015.30,45741.44
F_353065_2906524,32099.99,5149.75,1341.40,3015.30,41606.44
F_353068_2906466,35505.03,4630.55,1341.40,3015.30,44492.28
F_353070_2906407,33586.74,4241.15,1341.40,3015.30,42184.59
F_353071_2906351,15486.70,2574.88,1341.40,1767.25,21170.23
F_353072_2906301,15584.65,2704.68,1341.40,1507.65,21138.38
F_353075_2906250,37828.73,4500.75,1341.40,3534.50,47205.38
F_353076_2906202,15584.65,2315.28,1341.40,1507.65,20748.98
F_353076_2906153,14492.64,2574.88,1341.40,1507.65,19916.57
F_352896_2905980,17519.57,3872.88,1341.40,1507.65,24241.50
F_352899_2905925,46299.89,6426.63,2682.80,5301.75,60711.06
F_352933_2905872,13811.81,2574.88,1341.40,1767.25,19495.33
F_352934_2905821,14980.65,2704.68,1341.40,1507.65,20534.37
F_352880_2906576,41643.81,4500.75,1341.40,3015.30,50501.26
F_352880_2906499,15907.92,3223.88,1341.40,1767.25,22240.45
F_352882_2906423,30179.89,4630.55,1341.40,3015.30,39167.14
F_352885_2906357,40651.46,5149.75,1341.40,3534.50,50677.11
F_352887_2906287,32904.82,4630.55,1341.40,3015.30,8987.25
F_352890_2906228,33183.77,5798.75,1341.40,3534.50,43858.42
F_352890_2906177,41048.79,6556.43,2682.80,4522.95,54810.96
F_352893_2906128,34717.43,4630.55,1341.40,3015.30,43704.68
F_352894_2906076,36596.89,4630.55,1341.40,3534.50,46103.34
F_352862_2906837,45363.30,4630.55,1341.40,3015.30,54350.55
F_352872_2906754,36895.21,4500.75,1341.40,3534.50,46271.86
F_352875_2906695,17339.38,3223.88,1341.40,1767.25,23671.90
F_352876_2906637,31330.17,3851.75,1341.40,3534.50,40057.82
