building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,12308.45,0.00,0.00,0.00,12308.45
F_350331_2902122,12308.45,0.00,0.00,0.00,12308.45
F_350330_2902182,13547.08,0.00,0.00,0.00,13547.08
F_350331_2902242,12772.35,0.00,0.00,0.00,12772.35
F_350332_2902301,14811.11,0.00,0.00,0.00,14811.11
F_350333_2902360,13483.23,0.00,0.00,0.00,13483.23
F_350334_2902417,13483.23,0.00,0.00,0.00,13483.23
F_350335_2902479,12351.70,0.00,0.00,0.00,12351.70
F_350460_2902490,12308.45,0.00,0.00,0.00,12308.45
F_350459_2902427,12308.45,0.00,0.00,0.00,12308.45
F_350459_2902366,15074.71,0.00,0.00,0.00,15074.71
F_350459_2902307,14033.79,0.00,0.00,0.00,14033.79
F_350459_2902248,13118.75,0.00,0.00,0.00,13118.75
F_350458_2902189,13793.81,0.00,0.00,0.00,13793.81
F_350458_2902131,12308.45,0.00,0.00,0.00,12308.45
F_350457_2902072,13284.00,0.00,0.00,0.00,13284.00
F_353059_2906776,19295.59,0.00,0.00,0.00,19295.59
F_353062_2906646,36433.15,0.00,0.00,0.00,36433.15
F_353064_2906586,34867.80,0.00,0.00,0.00,34867.80
F_353079_2906099,35680.02,0.00,0.00,0.00,35680.02
F_353079_2906053,33048.36,0.00,0.00,0.00,33048.36
F_353081_2906005,35575.13,0.00,0.00,0.00,35575.13
F_353083_2905948,32439.68,0.00,0.00,0.00,32439.68
F_353084_2905882,36234.99,0.00,0.00,0.00,36234.99
F_353065_2906524,32099.99,0.00,0.00,0.00,32099.99
F_353068_2906466,35505.03,0.00,0.00,0.00,35505.03
F_353070_2906407,33586.74,0.00,0.00,0.00,33586.74
F_353071_2906351,15486.70,0.00,0.00,0.00,15486.70
F_353072_2906301,15584.65,0.00,0.00,0.00,15584.65
F_353075_2906250,37828.73,0.00,0.00,0.00,37828.73
F_353076_2906202,15584.65,0.00,0.00,0.00,15584.65
F_353076_2906153,14492.64,0.00,0.00,0.00,14492.64
F_352896_2905980,18267.21,0.00,0.00,0.00,18267.21
F_352899_2905925,46299.89,0.00,0.00,0.00,46299.89
F_352933_2905872,13811.81,0.00,0.00,0.00,13811.81
F_352934_2905821,14980.65,0.00,0.00,0.00,14980.65
F_352880_2906576,41643.81,0.00,0.00,0.00,41643.81
F_352880_2906499,15907.92,0.00,0.00,0.00,15907.92
F_352882_2906423,30179.89,0.00,0.00,0.00,30179.89
F_352885_2906357,40651.46,0.00,0.00,0.00,40651.46
F_352887_2906287,0.00,0.00,0.00,0.00,0.00
F_352890_2906228,33183.77,0.00,0.00,0.00,33183.77
F_352890_2906177,41048.79,0.00,0.00,0.00,41048.79
F_352893_2906128,34717.43,0.00,0.00,0.00,34717.43
F_352894_2906076,36596.89,0.00,0.00,0.00,36596.89
F_352862_2906837,45363.30,0.00,0.00,0.00,45363.30
F_352872_2906754,36895.21,0.00,0.00,0.00,36895.21
F_352875_2906695,17339.38,0.00,0.00,0.00,17339.38
F_352876_2906637,31330.17,0.00,0.00,0.00,31330.17
