parcel_id,asset_replacement_year,retrofit_consumption_id,retrofit_uses_piped_gas,retrofit_heating_fuel
IL_1224309006,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224309015,2025,il_average_profile_28_upgrade_10,False,Electricity
IL_1224308038,2025,il_average_profile_19_upgrade_10,False,Electricity
IL_1224308031,2025,il_average_profile_21_upgrade_10,False,Electricity
IL_1224308029,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224309013,2025,il_average_profile_15_upgrade_10,False,Electricity
IL_1224308022,2025,il_average_profile_13_upgrade_10,False,Electricity
IL_1224309017,2025,il_average_profile_28_upgrade_10,False,Electricity
IL_1224308030,2025,il_average_profile_17_upgrade_10,False,Electricity
IL_1224309008,2025,il_average_profile_13_upgrade_10,False,Electricity
IL_1224309019,2025,il_average_profile_16_upgrade_10,False,Electricity
IL_1224309016,2025,il_average_profile_22_upgrade_10,False,Electricity
IL_1224308025,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224309001,2025,il_average_profile_17_upgrade_10,False,Electricity
IL_1224308021,2025,il_average_profile_26_upgrade_10,False,Electricity
IL_1224309012,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224308024,2025,il_average_profile_16_upgrade_10,False,Electricity
IL_1224309018,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224309002,2025,il_average_profile_23_upgrade_10,False,Electricity
IL_1224309010,2025,il_average_profile_25_upgrade_10,False,Electricity
IL_1224309003,2025,il_average_profile_18_upgrade_10,False,Electricity
IL_1224309011,2025,il_average_profile_15_upgrade_10,False,Electricity
IL_1224308035,2025,il_average_profile_14_upgrade_10,False,Electricity
IL_1224308033,2025,il_average_profile_13_upgrade_10,False,Electricity
IL_1224308028,2025,il_average_profile_13_upgrade_10,False,Electricity
IL_1224308034,2025,il_average_profile_13_upgrade_10,False,Electricity
IL_1224308036,2025,il_average_profile_18_upgrade_10,False,Electricity
IL_1224309007,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224308040,2025,il_average_profile_14_upgrade_10,False,Electricity
IL_1224309020,2025,il_average_profile_25_upgrade_10,False,Electricity
IL_1224308039,2025,il_average_profile_24_upgrade_10,False,Electricity
IL_1224308037,2025,il_average_profile_19_upgrade_10,False,Electricity
IL_1224309014,2025,il_average_profile_20_upgrade_10,False,Electricity
IL_1224308032,2025,il_average_profile_20_upgrade_10,False,Electricity
IL_1224308023,2025,il_average_profile_12_upgrade_10,False,Electricity
IL_1224309009,2025,il_average_profile_27_upgrade_10,False,Electricity
IL_1224308026,2025,il_average_profile_27_upgrade_10,False,Electricity
IL_1224309005,2025,il_average_profile_16_upgrade_10,False,Electricity
IL_1224308027,2025,il_average_profile_15_upgrade_10,False,Electricity
IL_1224309004,2025,il_average_profile_14_upgrade_10,False,Electricity
