parcel_id,hvac,domestic_hot_water,clothes_dryer,stove,weatherization,panel_upgrade
IL_1224309006,3900,1250,750,650,0,0
IL_1224309015,3900,1250,750,650,0,0
IL_1224308038,3900,1250,750,650,0,0
IL_1224308031,3900,1250,750,650,0,0
IL_1224308029,3900,1250,750,650,0,0
IL_1224309013,3900,1250,750,650,0,0
IL_1224308022,3900,1250,750,650,0,0
IL_1224309017,3900,1250,750,650,0,0
IL_1224308030,3900,1250,750,650,0,0
IL_1224309008,3900,1250,750,650,0,0
IL_1224309019,3900,1250,750,650,0,0
IL_1224309016,3900,1250,750,650,0,0
IL_1224308025,3900,1250,750,650,0,0
IL_1224309001,3900,1250,750,650,0,0
IL_1224308021,3900,1250,750,650,0,0
IL_1224309012,3900,1250,750,650,0,0
IL_1224308024,3900,1250,750,650,0,0
IL_1224309018,3900,1250,750,650,0,0
IL_1224309002,3900,1250,750,650,0,0
IL_1224309010,3900,1250,750,650,0,0
IL_1224309003,3900,1250,750,650,0,0
IL_1224309011,3900,1250,750,650,0,0
IL_1224308035,3900,1250,750,650,0,0
IL_1224308033,3900,1250,750,650,0,0
IL_1224308028,3900,1250,750,650,0,0
IL_1224308034,3900,1250,750,650,0,0
IL_1224308036,3900,1250,750,650,0,0
IL_1224309007,3900,1250,750,650,0,0
IL_1224308040,3900,1250,750,650,0,0
IL_1224309020,3900,1250,750,650,0,0
IL_1224308039,3900,1250,750,650,0,0
IL_1224308037,3900,1250,750,650,0,0
IL_1224309014,3900,1250,750,650,0,0
IL_1224308032,3900,1250,750,650,0,0
IL_1224308023,3900,1250,750,650,0,0
IL_1224309009,6900,2220,1400,1100,0,0
IL_1224308026,6900,2220,1400,1100,0,0
IL_1224309005,3900,1250,750,650,0,0
IL_1224308027,3900,1250,750,650,0,0
IL_1224309004,3900,1250,750,650,0,0
