parcel_id,install_year,baseline_consumption_id,load_scaling_factor,uses_piped_gas,heating_fuel,measure_costs_filename
IL_1224309006,1995,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309015,1997,il_average_profile_28_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308038,1998,il_average_profile_19_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308031,2000,il_average_profile_21_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308029,2009,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309013,2010,il_average_profile_15_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308022,1999,il_average_profile_13_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309017,2014,il_average_profile_28_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308030,2010,il_average_profile_17_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309008,2009,il_average_profile_13_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309019,2009,il_average_profile_16_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309016,1996,il_average_profile_22_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308025,2012,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309001,2005,il_average_profile_17_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308021,2014,il_average_profile_26_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309012,2011,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308024,2010,il_average_profile_16_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309018,2008,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309002,2013,il_average_profile_23_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309010,2015,il_average_profile_25_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309003,2013,il_average_profile_18_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309011,2002,il_average_profile_15_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308035,2014,il_average_profile_14_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308033,2013,il_average_profile_13_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308028,2013,il_average_profile_13_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308034,1999,il_average_profile_13_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308036,2000,il_average_profile_18_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309007,2013,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308040,2013,il_average_profile_14_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309020,2006,il_average_profile_25_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308039,2001,il_average_profile_24_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308037,1997,il_average_profile_19_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309014,2008,il_average_profile_20_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308032,2007,il_average_profile_20_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308023,1998,il_average_profile_12_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309009,2003,il_average_profile_27_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308026,2013,il_average_profile_27_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309005,2005,il_average_profile_16_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224308027,1995,il_average_profile_15_upgrade_0,1,1,Natural gas,continued_gas_costs
IL_1224309004,2000,il_average_profile_14_upgrade_0,1,1,Natural gas,continued_gas_costs
