parcel_id,hvac,domestic_hot_water,clothes_dryer,stove,weatherization,panel_upgrade
EX_001,3900,1250,750,650,0,0
EX_002,3900,1250,750,650,0,0
EX_003,3900,1250,750,650,0,0
EX_004,3900,1250,750,650,0,0
EX_005,3900,1250,750,650,0,0
EX_006,3900,1250,750,650,0,0
EX_007,3900,1250,750,650,0,0
EX_008,3900,1250,750,650,0,0
EX_009,3900,1250,750,650,0,0
EX_010,3900,1250,750,650,0,0
EX_011,3900,1250,750,650,0,0
EX_012,3900,1250,750,650,0,0
EX_013,3900,1250,750,650,0,0
EX_014,3900,1250,750,650,0,0
EX_015,3900,1250,750,650,0,0
EX_016,3900,1250,750,650,0,0
EX_017,3900,1250,750,650,0,0
EX_018,3900,1250,750,650,0,0
EX_019,3900,1250,750,650,0,0
EX_020,3900,1250,750,650,0,0
