parcel_id,install_year,energy_profile_id,uses_piped_gas,heating_fuel
EX_001,2030,EX_PROFILE_4_uten,0,Thermal
EX_002,2030,EX_PROFILE_3_uten,0,Thermal
EX_003,2030,EX_PROFILE_3_uten,0,Thermal
EX_004,2030,EX_PROFILE_3_uten,0,Thermal
EX_005,2030,EX_PROFILE_3_uten,0,Thermal
EX_006,2030,EX_PROFILE_4_uten,0,Thermal
EX_007,2030,EX_PROFILE_2_uten,0,Thermal
EX_008,2030,EX_PROFILE_3_uten,0,Thermal
EX_009,2030,EX_PROFILE_2_uten,0,Thermal
EX_010,2030,EX_PROFILE_3_uten,0,Thermal
EX_011,2030,EX_PROFILE_1_uten,0,Thermal
EX_012,2030,EX_PROFILE_2_uten,0,Thermal
EX_013,2030,EX_PROFILE_1_uten,0,Thermal
EX_014,2030,EX_PROFILE_3_uten,0,Thermal
EX_015,2030,EX_PROFILE_4_uten,0,Thermal
EX_016,2030,EX_PROFILE_2_uten,0,Thermal
EX_017,2030,EX_PROFILE_3_uten,0,Thermal
EX_018,2030,EX_PROFILE_2_uten,0,Thermal
EX_019,2030,EX_PROFILE_1_uten,0,Thermal
EX_020,2030,EX_PROFILE_3_uten,0,Thermal
