parcel_id,hvac,domestic_hot_water,clothes_dryer,stove,weatherization,panel_upgrade
EX_001,52977,2350,450,850,11300,0
EX_002,81556,2350,450,850,11300,0
EX_003,81556,2350,450,850,11300,0
EX_004,81556,2350,450,850,11300,0
EX_005,81556,2350,450,850,11300,0
EX_006,52977,2350,450,850,11300,0
EX_007,63252,2350,450,850,11300,0
EX_008,81556,2350,450,850,11300,0
EX_009,63252,2350,450,850,11300,0
EX_010,81556,2350,450,850,11300,0
EX_011,56224,2350,450,850,11300,0
EX_012,63252,2350,450,850,11300,0
EX_013,56224,2350,450,850,11300,0
EX_014,81556,2350,450,850,11300,0
EX_015,52977,2350,450,850,11300,0
EX_016,63252,2350,450,850,11300,0
EX_017,81556,2350,450,850,11300,0
EX_018,63252,2350,450,850,11300,0
EX_019,56224,2350,450,850,11300,0
EX_020,81556,2350,450,850,11300,0
