Year,natural_gas.fixed,natural_gas.volumetric,electricity.fixed,electricity.volumetric,fuel_oil.fixed,fuel_oil.volumetric,propane.fixed,propane.volumetric,thermal_cooling.fixed,thermal_cooling.volumetric,thermal_heating.fixed,thermal_heating.volumetric
2024,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2025,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2026,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2027,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2028,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2029,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2030,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2031,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2032,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2033,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2034,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2035,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2036,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2037,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2038,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2039,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2040,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2041,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2042,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2043,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2044,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2045,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2046,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2047,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2048,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2049,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
2050,23.33,0.07,18.14,0.23,0,0,0,0,4.875,0,4.875,0
