gisid,parentid,inst_date,inst_cost,diameter,material,length_ft,LOC_ID,lifetime,replacement_cost
GS_1,GP001,1/1/1930,1000,1,CI,50,EX_001,40,5000
GS_2,GP001,1/1/1930,1000,1,CI,50,EX_002,40,5000
GS_3,GP001,1/1/1930,1000,1,CI,50,EX_003,40,5000
GS_4,GP001,1/1/1930,1000,1,CI,50,EX_004,40,5000
GS_5,GP001,1/1/1930,1000,1,CI,50,EX_005,40,5000
GS_6,GP001,1/1/1930,1000,1,CI,50,EX_006,40,5000
GS_7,GP001,1/1/1930,1000,1,CI,50,EX_007,40,5000
GS_8,GP001,1/1/1930,1000,1,CI,50,EX_008,40,5000
GS_9,GP001,1/1/1930,1000,1,CI,50,EX_009,40,5000
GS_10,GP001,1/1/1930,1000,1,CI,50,EX_010,40,5000
GS_11,GP001,1/1/1930,1000,1,CI,50,EX_011,40,5000
GS_12,GP001,1/1/1930,1000,1,CI,50,EX_012,40,5000
GS_13,GP001,1/1/1930,1000,1,CI,50,EX_013,40,5000
GS_14,GP001,1/1/1930,1000,1,CI,50,EX_014,40,5000
GS_15,GP001,1/1/1930,1000,1,CI,50,EX_015,40,5000
GS_16,GP001,1/1/1930,1000,1,CI,50,EX_016,40,5000
GS_17,GP001,1/1/1930,1000,1,CI,50,EX_017,40,5000
GS_18,GP001,1/1/1930,1000,1,CI,50,EX_018,40,5000
GS_19,GP001,1/1/1930,1000,1,CI,50,EX_019,40,5000
GS_20,GP001,1/1/1930,1000,1,CI,50,EX_020,40,5000
