building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
IL_1224309006,14400,2350,450,850,18050
IL_1224309015,14400,2350,450,850,18050
IL_1224308038,14400,2350,450,850,18050
IL_1224308031,14400,2350,450,850,18050
IL_1224308029,14400,2350,450,850,18050
IL_1224309013,14400,2350,450,850,18050
IL_1224308022,14400,2350,450,850,18050
IL_1224309017,14400,2350,450,850,18050
IL_1224308030,14400,2350,450,850,18050
IL_1224309008,14400,2350,450,850,18050
IL_1224309019,14400,2350,450,850,18050
IL_1224309016,14400,2350,450,850,18050
IL_1224308025,14400,2350,450,850,18050
IL_1224309001,14400,2350,450,850,18050
IL_1224308021,14400,2350,450,850,18050
IL_1224309012,14400,2350,450,850,18050
IL_1224308024,14400,2350,450,850,18050
IL_1224309018,14400,2350,450,850,18050
IL_1224309002,14400,2350,450,850,18050
IL_1224309010,14400,2350,450,850,18050
IL_1224309003,14400,2350,450,850,18050
IL_1224309011,14400,2350,450,850,18050
IL_1224308035,14400,2350,450,850,18050
IL_1224308033,14400,2350,450,850,18050
IL_1224308028,14400,2350,450,850,18050
IL_1224308034,14400,2350,450,850,18050
IL_1224308036,14400,2350,450,850,18050
IL_1224309007,14400,2350,450,850,18050
IL_1224308040,14400,2350,450,850,18050
IL_1224309020,14400,2350,450,850,18050
IL_1224308039,14400,2350,450,850,18050
IL_1224308037,14400,2350,450,850,18050
IL_1224309014,14400,2350,450,850,18050
IL_1224308032,14400,2350,450,850,18050
IL_1224308023,14400,2350,450,850,18050
IL_1224309009,14400,2350,450,850,18050
IL_1224308026,14400,2350,450,850,18050
IL_1224309005,14400,2350,450,850,18050
IL_1224308027,14400,2350,450,850,18050
IL_1224309004,14400,2350,450,850,18050
