building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_715284_2938843,44750.03038,2315.275,2757,1767.25,51589.55538,2031
F_715018_2938902,41460.84881,2574.875,2497.4,1767.25,48300.37381,2025
F_715583_2938646,47976.54075,2574.875,2757,1507.65,54816.06575,2025
F_715674_2938757,42829.30936,2315.275,2497.4,1507.65,49149.63436,2025
F_715113_2939056,42683.92827,2574.875,2757,1767.25,49783.05327,2025
F_714897_2938859,33922.0287,2574.875,2757,1767.25,41021.1537,2025
F_715382_2938560,32829.81018,2315.275,2757,1767.25,39669.33518,2025
F_715583_2938872,28501.65083,2574.875,2497.4,1767.25,35341.17583,2025
F_715497_2938593,29820.8313,2315.275,2757,1507.65,36400.7563,2025
F_715074_2938797,36170.1121,2315.275,2757,1767.25,43009.6371,2041
F_715117_2938698,29370.67971,2315.275,2497.4,1767.25,35950.60471,2025
F_715195_2938669,24728.65261,2315.275,2497.4,1507.65,31048.97761,2025
F_715268_2938629,29478.21314,2315.275,2497.4,1767.25,36058.13814,2025
F_714815_2939003,26015.128,2574.875,2757,1767.25,33114.253,2025
F_715218_2938954,29937.87454,2574.875,2757,1767.25,37036.99954,2025
F_714956_2939056,29393.35102,2574.875,2497.4,1767.25,36232.87602,2025
F_715419_2938797,34732.09221,2574.875,2757,1507.65,41571.61721,2025
F_714592_2938902,48724.56389,2315.275,2497.4,1767.25,55304.48889,2025
F_714723_2938816,46764.31254,2315.275,2497.4,1507.65,53084.63754,2025
F_753646_2717355,46833.09553,7724.625,5514,5301.75,65373.47053,2025
F_753674_2717470,39644.16722,6945.825,5514,5301.75,57405.74222,2025
F_753569_2717047,49153.71487,10039.9,7492.2,6030.6,72716.41487,2025
F_753629_2717285,49568.42199,8243.825,4994.8,5301.75,68108.79699,2025
F_753581_2717093,69884.10341,12095.575,11028,8836.25,101843.9284,2025
F_753663_2717423,32369.32699,4630.55,2497.4,3534.5,43031.77699,2025
F_753474_2717148,41206.49088,7205.425,4994.8,5301.75,58708.46588,2025
F_753492_2717319,15507.17593,3613.275,2497.4,1507.65,23125.50093,2025
F_753421_2717033,49854.79134,12874.375,11028,8836.25,82593.41634,2025
F_753432_2717080,55342.53941,13133.975,11028,8836.25,88340.76441,2025
F_753515_2717411,72380.01554,13891.65,13785,10603.5,110660.1655,2025
F_753480_2717271,43681.93738,8243.825,5514,5301.75,62741.51238,2025
F_753409_2716987,62201.28645,12874.375,11028,7538.25,93641.91145,2025
F_753504_2717366,51750.52875,12095.575,11028,8836.25,83710.35375,2025
F_753526_2717454,29562.14759,4630.55,2497.4,3534.5,40224.59759,2025
F_753588_2717245,21283.0355,2315.275,2757,1767.25,28122.5605,2025
