building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,next_retrofit_year
F_715284_2938843,14992.5648,1321.275,1341.4,1507.65,19162.8898,2034
F_715018_2938902,13942.63194,1321.275,1341.4,1507.65,18112.95694,2035
F_715583_2938646,16022.49251,1321.275,1341.4,1507.65,20192.81751,2036
F_715674_2938757,14379.45541,1321.275,1341.4,1507.65,18549.78041,2037
F_715113_2939056,12902.10006,1321.275,1341.4,1507.65,17072.42506,2038
F_714897_2938859,10398.96869,1321.275,1341.4,1507.65,14569.29369,2039
F_715382_2938560,9945.950173,1321.275,1341.4,1507.65,14116.27517,2040
F_715583_2938872,8728.053385,1321.275,1341.4,1507.65,12898.37838,2041
F_715497_2938593,9099.256366,1321.275,1341.4,1507.65,13269.58137,2042
F_715074_2938797,10885.87467,1321.275,1341.4,1507.65,15056.19967,2043
F_715117_2938698,8972.588622,1321.275,1341.4,1507.65,13142.91362,2044
F_715195_2938669,7920.905648,1321.275,1341.4,1507.65,12091.23065,2045
F_715268_2938629,9002.847358,1321.275,1341.4,1507.65,13173.17236,2046
F_714815_2939003,8028.373004,1321.275,1341.4,1507.65,12198.698,2047
F_715218_2938954,9132.191056,1321.275,1341.4,1507.65,13302.51606,2048
F_714956_2939056,8978.968082,1321.275,1341.4,1507.65,13149.29308,2049
F_715419_2938797,11702.87125,1321.275,1341.4,1507.65,15873.19625,2050
F_714592_2938902,15126.56034,1321.275,1341.4,1507.65,19296.88534,2051
F_714723_2938816,15056.3135,1321.275,1341.4,1507.65,19226.6385,2052
F_753646_2717355,23810.83878,3963.825,2682.8,4522.95,34980.41378,2053
F_753674_2717470,20481.88673,3963.825,2682.8,4522.95,31651.46173,2054
F_753569_2717047,25593.43991,5285.1,4024.2,6030.6,40933.33991,2055
F_753629_2717285,25077.47689,3963.825,2682.8,4522.95,36247.05189,2056
F_753581_2717093,35900.98888,6606.375,5365.6,7538.25,55411.21388,2057
F_753663_2717423,16405.15175,2642.55,1341.4,3015.3,23404.40175,2058
F_753474_2717148,21205.34652,3963.825,2682.8,4522.95,32374.92152,2059
F_753492_2717319,5071.550011,1321.275,1341.4,1507.65,9241.875011,2059
F_753421_2717033,30373.21276,6606.375,5365.6,7538.25,49883.43776,2059
F_753432_2717080,29167.27738,6606.375,5365.6,7538.25,48677.50238,2059
F_753515_2717411,37764.76224,7927.65,6707,9045.9,61445.31224,2059
F_753480_2717271,22351.64292,3963.825,2682.8,4522.95,33521.21792,2059
F_753409_2716987,32343.33354,6606.375,5365.6,7538.25,51853.55854,2059
F_753504_2717366,31393.55051,6606.375,5365.6,7538.25,50903.77551,2059
F_753526_2717454,15105.24094,2642.55,1341.4,3015.3,22104.49094,2059
F_753588_2717245,6696.813837,1321.275,1341.4,1507.65,10867.13884,2059
