building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,15486.00,2315.00,2497.00,1508.00,21806.00
F_350331_2902122,15486.00,2315.00,2497.00,1508.00,21806.00
F_350330_2902182,17044.00,2315.00,2497.00,1508.00,23364.00
F_350331_2902242,16069.00,2315.00,2497.00,1508.00,22390.00
F_350332_2902301,18634.00,2315.00,2497.00,1508.00,24955.00
F_350333_2902360,16964.00,2315.00,2497.00,1508.00,23284.00
F_350334_2902417,16964.00,2315.00,2497.00,1508.00,23284.00
F_350335_2902479,15540.00,2315.00,2497.00,1508.00,21860.00
F_350460_2902490,15486.00,2575.00,2757.00,1508.00,22325.00
F_350459_2902427,15486.00,2575.00,2757.00,1767.00,22585.00
F_350459_2902366,18966.00,2315.00,2497.00,1508.00,25286.00
F_350459_2902307,17656.00,2575.00,2757.00,1767.00,24756.00
F_350459_2902248,16505.00,2315.00,2497.00,1508.00,22826.00
F_350458_2902189,17355.00,2315.00,2497.00,1508.00,23675.00
F_350458_2902131,15486.00,2575.00,2757.00,1767.00,22585.00
F_350457_2902072,16713.00,2315.00,2757.00,1767.00,23553.00
F_353059_2906776,23885.00,2705.00,2497.00,1508.00,30595.00
F_353062_2906646,26334.00,4631.00,2497.00,3015.00,36478.00
F_353064_2906586,25203.00,4631.00,2497.00,3015.00,35346.00
F_353079_2906099,25790.00,4631.00,2497.00,3015.00,35933.00
F_353079_2906053,23888.00,4631.00,2497.00,3015.00,34031.00
F_353081_2906005,25714.00,4631.00,2497.00,3015.00,35857.00
F_353083_2905948,23448.00,4631.00,2497.00,3535.00,34110.00
F_353084_2905882,26191.00,5150.00,2757.00,3015.00,37113.00
F_353065_2906524,23202.00,4631.00,2757.00,3015.00,33605.00
F_353068_2906466,25664.00,4631.00,2497.00,3015.00,35807.00
F_353070_2906407,24277.00,4241.00,2497.00,3015.00,34031.00
F_353071_2906351,19170.00,2575.00,2497.00,1767.00,26010.00
F_353072_2906301,19608.00,2705.00,2497.00,1508.00,26317.00
F_353075_2906250,27343.00,4241.00,2757.00,3015.00,37357.00
F_353076_2906202,19608.00,2315.00,2497.00,1508.00,25928.00
F_353076_2906153,18234.00,2315.00,2497.00,1767.00,24814.00
F_352896_2905980,22894.00,3873.00,2497.00,1767.00,31032.00
F_352899_2905925,33466.00,6427.00,5514.00,5302.00,50709.00
F_352933_2905872,17377.00,2575.00,2757.00,1508.00,24217.00
F_352934_2905821,18544.00,2705.00,2497.00,1508.00,25253.00
F_352880_2906576,30101.00,4501.00,2757.00,3535.00,40893.00
F_352880_2906499,20014.00,3224.00,2757.00,1767.00,27762.00
F_352882_2906423,21814.00,4631.00,2497.00,3015.00,31958.00
F_352885_2906357,29383.00,4631.00,2757.00,3535.00,40305.00
F_352887_2906287,22854.00,4631.00,2497.00,3015.00,32997.00
F_352890_2906228,23986.00,5799.00,2757.00,3535.00,36076.00
F_352890_2906177,29671.00,6556.00,4995.00,4523.00,45745.00
F_352893_2906128,25094.00,4631.00,2497.00,3015.00,35237.00
F_352894_2906076,26453.00,5150.00,2757.00,3015.00,37375.00
F_352862_2906837,32789.00,4631.00,2497.00,3015.00,42932.00
F_352872_2906754,26668.00,4501.00,2757.00,3535.00,37461.00
F_352875_2906695,21463.00,3224.00,2757.00,1767.00,29212.00
F_352876_2906637,22646.00,3852.00,2757.00,3015.00,32270.00
