building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,20404.00,2315.00,2497.00,1508.00,26725.00
F_350331_2902122,20404.00,2315.00,2497.00,1508.00,26725.00
F_350330_2902182,22458.00,2315.00,2497.00,1508.00,28778.00
F_350331_2902242,21173.00,2315.00,2497.00,1508.00,27494.00
F_350332_2902301,24553.00,2315.00,2497.00,1508.00,30873.00
F_350333_2902360,22352.00,2315.00,2497.00,1508.00,28672.00
F_350334_2902417,22352.00,2315.00,2497.00,1508.00,28672.00
F_350335_2902479,20476.00,2315.00,2497.00,1508.00,26796.00
F_350460_2902490,20404.00,2575.00,2757.00,1508.00,27244.00
F_350459_2902427,20404.00,2575.00,2757.00,1767.00,27503.00
F_350459_2902366,24990.00,2315.00,2497.00,1508.00,31310.00
F_350459_2902307,23264.00,2575.00,2757.00,1767.00,30363.00
F_350459_2902248,21747.00,2315.00,2497.00,1508.00,28068.00
F_350458_2902189,22867.00,2315.00,2497.00,1508.00,29187.00
F_350458_2902131,20404.00,2575.00,2757.00,1767.00,27503.00
F_350457_2902072,22021.00,2315.00,2757.00,1767.00,28861.00
F_353059_2906776,30989.00,2705.00,2497.00,1508.00,37699.00
F_353062_2906646,32153.00,4631.00,2497.00,3015.00,42296.00
F_353064_2906586,30771.00,4631.00,2497.00,3015.00,40915.00
F_353079_2906099,31488.00,4631.00,2497.00,3015.00,41631.00
F_353079_2906053,29166.00,4631.00,2497.00,3015.00,39309.00
F_353081_2906005,31396.00,4631.00,2497.00,3015.00,41539.00
F_353083_2905948,28629.00,4631.00,2497.00,3535.00,39291.00
F_353084_2905882,31978.00,5150.00,2757.00,3015.00,42900.00
F_353065_2906524,28329.00,4631.00,2757.00,3015.00,38732.00
F_353068_2906466,31334.00,4631.00,2497.00,3015.00,41477.00
F_353070_2906407,29641.00,4241.00,2497.00,3015.00,39395.00
F_353071_2906351,24872.00,2575.00,2497.00,1767.00,31712.00
F_353072_2906301,25835.00,2705.00,2497.00,1508.00,32545.00
F_353075_2906250,33384.00,4241.00,2757.00,3015.00,43398.00
F_353076_2906202,25835.00,2315.00,2497.00,1508.00,32156.00
F_353076_2906153,24025.00,2315.00,2497.00,1767.00,30605.00
F_352896_2905980,29345.00,3873.00,2497.00,1767.00,37482.00
F_352899_2905925,40860.00,6427.00,5514.00,5302.00,58103.00
F_352933_2905872,22896.00,2575.00,2757.00,1508.00,29736.00
F_352934_2905821,24059.00,2705.00,2497.00,1508.00,30769.00
F_352880_2906576,36751.00,4501.00,2757.00,3535.00,47544.00
F_352880_2906499,26371.00,3224.00,2757.00,1767.00,34119.00
F_352882_2906423,26634.00,4631.00,2497.00,3015.00,36777.00
F_352885_2906357,35876.00,4631.00,2757.00,3535.00,46798.00
F_352887_2906287,27904.00,4631.00,2497.00,3015.00,38047.00
F_352890_2906228,29285.00,5799.00,2757.00,3535.00,41375.00
F_352890_2906177,36226.00,6556.00,4995.00,4523.00,52300.00
F_352893_2906128,30639.00,4631.00,2497.00,3015.00,40782.00
F_352894_2906076,32297.00,5150.00,2757.00,3015.00,43219.00
F_352862_2906837,40034.00,4631.00,2497.00,3015.00,50177.00
F_352872_2906754,32561.00,4501.00,2757.00,3535.00,43353.00
F_352875_2906695,27848.00,3224.00,2757.00,1767.00,35596.00
F_352876_2906637,27649.00,3852.00,2757.00,3015.00,37273.00
