building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,11783.39,2315.28,1341.40,1507.65,16947.72
F_350331_2902122,11783.39,2315.28,1341.40,1507.65,16947.72
F_350330_2902182,12969.19,2315.28,1341.40,1507.65,18133.51
F_350331_2902242,12227.51,2315.28,1341.40,1507.65,17391.83
F_350332_2902301,14179.30,2315.28,1341.40,1507.65,19343.62
F_350333_2902360,12908.06,2315.28,1341.40,1507.65,18072.39
F_350334_2902417,12908.06,2315.28,1341.40,1507.65,18072.39
F_350335_2902479,11824.80,2315.28,1341.40,1507.65,16989.12
F_350460_2902490,11783.39,2574.88,1341.40,1507.65,17207.32
F_350459_2902427,11783.39,2574.88,1341.40,1767.25,17466.92
F_350459_2902366,14431.65,2315.28,1341.40,1507.65,19595.98
F_350459_2902307,13435.14,2574.88,1341.40,1767.25,19118.66
F_350459_2902248,12559.13,2315.28,1341.40,1507.65,17723.46
F_350458_2902189,13205.39,2315.28,1341.40,1507.65,18369.72
F_350458_2902131,11783.39,2574.88,1341.40,1767.25,17466.92
F_350457_2902072,12717.33,2315.28,1341.40,1767.25,18141.26
F_353059_2906776,18537.19,2704.68,1341.40,1507.65,24090.91
F_353062_2906646,24110.70,4630.55,1341.40,3015.30,33097.95
F_353064_2906586,23074.78,4630.55,1341.40,3015.30,32062.03
F_353079_2906099,23612.29,4630.55,1341.40,3015.30,32599.54
F_353079_2906053,21870.72,4630.55,1341.40,3015.30,30857.97
F_353081_2906005,23542.88,4630.55,1341.40,3015.30,32530.13
F_353083_2905948,21467.91,4630.55,1341.40,3534.50,30974.36
F_353084_2905882,23979.56,5149.75,1341.40,3015.30,33486.01
F_353065_2906524,21243.11,4630.55,1341.40,3015.30,30230.36
F_353068_2906466,23496.49,4630.55,1341.40,3015.30,32483.74
F_353070_2906407,22227.00,4241.15,1341.40,3015.30,30824.85
F_353071_2906351,14878.00,2574.88,1341.40,1767.25,20561.53
F_353072_2906301,14919.84,2704.68,1341.40,1507.65,20473.57
F_353075_2906250,25034.27,4241.15,1341.40,3015.30,33632.12
F_353076_2906202,14919.84,2315.28,1341.40,1507.65,20084.17
F_353076_2906153,13874.41,2315.28,1341.40,1767.25,19298.34
F_352896_2905980,17578.61,3872.88,1341.40,1767.25,24560.14
F_352899_2905925,30640.30,6426.63,2682.80,5301.75,45051.48
F_352933_2905872,13222.63,2574.88,1341.40,1507.65,18646.55
F_352934_2905821,14391.84,2704.68,1341.40,1507.65,19945.57
F_352880_2906576,27559.01,4500.75,1341.40,3534.50,36935.66
F_352880_2906499,15229.32,3223.88,1341.40,1767.25,21561.85
F_352882_2906423,19972.43,4630.55,1341.40,3015.30,28959.68
F_352885_2906357,26902.29,4630.55,1341.40,3534.50,36408.74
F_352887_2906287,0.00,4630.55,1341.40,3015.30,8987.25
F_352890_2906228,21960.33,5798.75,1341.40,3534.50,32634.98
F_352890_2906177,27165.24,6556.43,2682.80,4522.95,40927.41
F_352893_2906128,22975.27,4630.55,1341.40,3015.30,31962.52
F_352894_2906076,24219.06,5149.75,1341.40,3015.30,33725.51
F_352862_2906837,30020.49,4630.55,1341.40,3015.30,39007.74
F_352872_2906754,24416.48,4500.75,1341.40,3534.50,33793.13
F_352875_2906695,16657.86,3223.88,1341.40,1767.25,22990.39
F_352876_2906637,20733.65,3851.75,1341.40,3015.30,28942.10
