building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,20404.18,2315.28,2497.40,1507.65,26724.50
F_350331_2902122,20404.18,2315.28,2497.40,1507.65,26724.50
F_350330_2902182,22457.50,2315.28,2497.40,1507.65,28777.83
F_350331_2902242,21173.21,2315.28,2497.40,1507.65,27493.53
F_350332_2902301,24552.93,2315.28,2497.40,1507.65,30873.26
F_350333_2902360,22351.66,2315.28,2497.40,1507.65,28671.98
F_350334_2902417,22351.66,2315.28,2497.40,1507.65,28671.98
F_350335_2902479,20475.88,2315.28,2497.40,1507.65,26796.20
F_350460_2902490,20404.18,2574.88,2757.00,1507.65,27243.70
F_350459_2902427,20404.18,2574.88,2757.00,1767.25,27503.30
F_350459_2902366,24989.91,2315.28,2497.40,1507.65,31310.24
F_350459_2902307,23264.34,2574.88,2757.00,1767.25,30363.47
F_350459_2902248,21747.45,2315.28,2497.40,1507.65,28067.77
F_350458_2902189,22866.52,2315.28,2497.40,1507.65,29186.85
F_350458_2902131,20404.18,2574.88,2757.00,1767.25,27503.30
F_350457_2902072,22021.39,2315.28,2757.00,1767.25,28860.92
F_353059_2906776,30989.37,2704.68,2497.40,1507.65,37699.10
F_353062_2906646,32152.81,4630.55,2497.40,3015.30,42296.06
F_353064_2906586,30771.36,4630.55,2497.40,3015.30,40914.61
F_353079_2906099,31488.16,4630.55,2497.40,3015.30,41631.41
F_353079_2906053,29165.68,4630.55,2497.40,3015.30,39308.93
F_353081_2906005,31395.59,4630.55,2497.40,3015.30,41538.84
F_353083_2905948,28628.51,4630.55,2497.40,3534.50,39290.96
F_353084_2905882,31977.93,5149.75,2757.00,3015.30,42899.98
F_353065_2906524,28328.73,4630.55,2757.00,3015.30,38731.58
F_353068_2906466,31333.73,4630.55,2497.40,3015.30,41476.98
F_353070_2906407,29640.81,4241.15,2497.40,3015.30,39394.66
F_353071_2906351,24872.17,2574.88,2497.40,1767.25,31711.69
F_353072_2906301,25835.27,2704.68,2497.40,1507.65,32544.99
F_353075_2906250,33384.43,4241.15,2757.00,3015.30,43397.88
F_353076_2906202,25835.27,2315.28,2497.40,1507.65,32155.59
F_353076_2906153,24025.00,2315.28,2497.40,1767.25,30604.93
F_352896_2905980,29344.56,3872.88,2497.40,1767.25,37482.08
F_352899_2905925,40860.35,6426.63,5514.00,5301.75,58102.73
F_352933_2905872,22896.36,2574.88,2757.00,1507.65,29735.89
F_352934_2905821,24059.43,2704.68,2497.40,1507.65,30769.15
F_352880_2906576,36751.29,4500.75,2757.00,3534.50,47543.54
F_352880_2906499,26371.17,3223.88,2757.00,1767.25,34119.29
F_352882_2906423,26634.21,4630.55,2497.40,3015.30,36777.46
F_352885_2906357,35875.53,4630.55,2757.00,3534.50,46797.58
F_352887_2906287,27903.62,4630.55,2497.40,3015.30,38046.87
F_352890_2906228,29285.18,5798.75,2757.00,3534.50,41375.43
F_352890_2906177,36226.18,6556.43,4994.80,4522.95,52300.35
F_352893_2906128,30638.66,4630.55,2497.40,3015.30,40781.91
F_352894_2906076,32297.32,5149.75,2757.00,3015.30,43219.37
F_352862_2906837,40033.80,4630.55,2497.40,3015.30,50177.05
F_352872_2906754,32560.58,4500.75,2757.00,3534.50,43352.83
F_352875_2906695,27847.63,3223.88,2757.00,1767.25,35595.75
F_352876_2906637,27649.35,3851.75,2757.00,3015.30,37273.40
