building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,11783.39,0.00,0.00,0.00,11783.39
F_350331_2902122,11783.39,0.00,0.00,0.00,11783.39
F_350330_2902182,12969.19,0.00,0.00,0.00,12969.19
F_350331_2902242,12227.51,0.00,0.00,0.00,12227.51
F_350332_2902301,14179.30,0.00,0.00,0.00,14179.30
F_350333_2902360,12908.06,0.00,0.00,0.00,12908.06
F_350334_2902417,12908.06,0.00,0.00,0.00,12908.06
F_350335_2902479,11824.80,0.00,0.00,0.00,11824.80
F_350460_2902490,11783.39,0.00,0.00,0.00,11783.39
F_350459_2902427,11783.39,0.00,0.00,0.00,11783.39
F_350459_2902366,14431.65,0.00,0.00,0.00,14431.65
F_350459_2902307,13435.14,0.00,0.00,0.00,13435.14
F_350459_2902248,12559.13,0.00,0.00,0.00,12559.13
F_350458_2902189,13205.39,0.00,0.00,0.00,13205.39
F_350458_2902131,11783.39,0.00,0.00,0.00,11783.39
F_350457_2902072,12717.33,0.00,0.00,0.00,12717.33
F_353059_2906776,18537.19,0.00,0.00,0.00,18537.19
F_353062_2906646,24110.70,0.00,0.00,0.00,24110.70
F_353064_2906586,23074.78,0.00,0.00,0.00,23074.78
F_353079_2906099,23612.29,0.00,0.00,0.00,23612.29
F_353079_2906053,21870.72,0.00,0.00,0.00,21870.72
F_353081_2906005,23542.88,0.00,0.00,0.00,23542.88
F_353083_2905948,21467.91,0.00,0.00,0.00,21467.91
F_353084_2905882,23979.56,0.00,0.00,0.00,23979.56
F_353065_2906524,21243.11,0.00,0.00,0.00,21243.11
F_353068_2906466,23496.49,0.00,0.00,0.00,23496.49
F_353070_2906407,22227.00,0.00,0.00,0.00,22227.00
F_353071_2906351,14878.00,0.00,0.00,0.00,14878.00
F_353072_2906301,14919.84,0.00,0.00,0.00,14919.84
F_353075_2906250,25034.27,0.00,0.00,0.00,25034.27
F_353076_2906202,14919.84,0.00,0.00,0.00,14919.84
F_353076_2906153,13874.41,0.00,0.00,0.00,13874.41
F_352896_2905980,17578.61,0.00,0.00,0.00,17578.61
F_352899_2905925,30640.30,0.00,0.00,0.00,30640.30
F_352933_2905872,13222.63,0.00,0.00,0.00,13222.63
F_352934_2905821,14391.84,0.00,0.00,0.00,14391.84
F_352880_2906576,27559.01,0.00,0.00,0.00,27559.01
F_352880_2906499,15229.32,0.00,0.00,0.00,15229.32
F_352882_2906423,19972.43,0.00,0.00,0.00,19972.43
F_352885_2906357,26902.29,0.00,0.00,0.00,26902.29
F_352887_2906287,0.00,0.00,0.00,0.00,0.00
F_352890_2906228,21960.33,0.00,0.00,0.00,21960.33
F_352890_2906177,27165.24,0.00,0.00,0.00,27165.24
F_352893_2906128,22975.27,0.00,0.00,0.00,22975.27
F_352894_2906076,24219.06,0.00,0.00,0.00,24219.06
F_352862_2906837,30020.49,0.00,0.00,0.00,30020.49
F_352872_2906754,24416.48,0.00,0.00,0.00,24416.48
F_352875_2906695,16657.86,0.00,0.00,0.00,16657.86
F_352876_2906637,20733.65,0.00,0.00,0.00,20733.65
