building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,0.00,0.00,0.00,0.00,0.00
F_350331_2902122,0.00,0.00,0.00,0.00,0.00
F_350330_2902182,0.00,0.00,0.00,0.00,0.00
F_350331_2902242,0.00,0.00,0.00,0.00,0.00
F_350332_2902301,0.00,0.00,0.00,0.00,0.00
F_350333_2902360,0.00,0.00,0.00,0.00,0.00
F_350334_2902417,0.00,0.00,0.00,0.00,0.00
F_350335_2902479,0.00,0.00,0.00,0.00,0.00
F_350460_2902490,13013.01,239.13,245.00,239.13,13736.26
F_350459_2902427,13013.01,239.13,245.00,239.13,13736.26
F_350459_2902366,0.00,0.00,0.00,0.00,0.00
F_350459_2902307,14837.11,239.13,245.00,239.13,15560.36
F_350459_2902248,0.00,0.00,0.00,0.00,0.00
F_350458_2902189,0.00,0.00,0.00,0.00,0.00
F_350458_2902131,13013.01,239.13,245.00,239.13,13736.26
F_350457_2902072,14044.41,239.13,245.00,239.13,14767.66
F_353059_2906776,0.00,0.00,0.00,0.00,0.00
F_353062_2906646,0.00,0.00,0.00,0.00,0.00
F_353064_2906586,0.00,0.00,0.00,0.00,0.00
F_353079_2906099,0.00,0.00,0.00,0.00,0.00
F_353079_2906053,0.00,0.00,0.00,0.00,0.00
F_353081_2906005,0.00,0.00,0.00,0.00,0.00
F_353083_2905948,26044.70,478.25,245.00,478.25,27246.20
F_353084_2905882,29091.82,478.25,245.00,478.25,30293.32
F_353065_2906524,25771.97,478.25,245.00,478.25,26973.47
F_353068_2906466,0.00,0.00,0.00,0.00,0.00
F_353070_2906407,0.00,0.00,0.00,0.00,0.00
F_353071_2906351,16303.51,239.13,245.00,239.13,17026.76
F_353072_2906301,0.00,0.00,0.00,0.00,0.00
F_353075_2906250,30371.38,239.13,245.00,478.25,31333.76
F_353076_2906202,0.00,0.00,0.00,0.00,0.00
F_353076_2906153,15322.23,239.13,245.00,239.13,16045.48
F_352896_2905980,19191.24,717.38,245.00,239.13,20392.74
F_352899_2905925,37172.58,239.13,490.00,717.38,38619.08
F_352933_2905872,14602.43,239.13,245.00,239.13,15325.68
F_352934_2905821,0.00,0.00,0.00,0.00,0.00
F_352880_2906576,33434.37,239.13,245.00,478.25,34396.75
F_352880_2906499,16818.53,478.25,245.00,239.13,17780.90
F_352882_2906423,0.00,0.00,0.00,0.00,0.00
F_352885_2906357,32637.65,478.25,245.00,478.25,33839.15
F_352887_2906287,0.00,0.00,0.00,0.00,0.00
F_352890_2906228,26642.10,717.38,245.00,478.25,28082.73
F_352890_2906177,0.00,0.00,0.00,0.00,0.00
F_352893_2906128,0.00,0.00,0.00,0.00,0.00
F_352894_2906076,29382.38,478.25,245.00,478.25,30583.88
F_352862_2906837,0.00,0.00,0.00,0.00,0.00
F_352872_2906754,29621.88,239.13,245.00,478.25,30584.26
F_352875_2906695,18253.90,478.25,245.00,239.13,19216.27
F_352876_2906637,25153.91,0.00,245.00,478.25,25877.16
