building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,15485.72,2315.28,2497.40,1507.65,21806.04
F_350331_2902122,15485.72,2315.28,2497.40,1507.65,21806.04
F_350330_2902182,17044.09,2315.28,2497.40,1507.65,23364.41
F_350331_2902242,16069.37,2315.28,2497.40,1507.65,22389.70
F_350332_2902301,18634.41,2315.28,2497.40,1507.65,24954.74
F_350333_2902360,16963.76,2315.28,2497.40,1507.65,23284.08
F_350334_2902417,16963.76,2315.28,2497.40,1507.65,23284.08
F_350335_2902479,15540.13,2315.28,2497.40,1507.65,21860.46
F_350460_2902490,15485.72,2574.88,2757.00,1507.65,22325.24
F_350459_2902427,15485.72,2574.88,2757.00,1767.25,22584.84
F_350459_2902366,18966.06,2315.28,2497.40,1507.65,25286.38
F_350459_2902307,17656.44,2574.88,2757.00,1767.25,24755.56
F_350459_2902248,16505.19,2315.28,2497.40,1507.65,22825.52
F_350458_2902189,17354.51,2315.28,2497.40,1507.65,23674.84
F_350458_2902131,15485.72,2574.88,2757.00,1767.25,22584.84
F_350457_2902072,16713.10,2315.28,2757.00,1767.25,23552.63
F_353059_2906776,23884.97,2704.68,2497.40,1507.65,30594.69
F_353062_2906646,26334.36,4630.55,2497.40,3015.30,36477.61
F_353064_2906586,25202.91,4630.55,2497.40,3015.30,35346.16
F_353079_2906099,25789.99,4630.55,2497.40,3015.30,35933.24
F_353079_2906053,23887.79,4630.55,2497.40,3015.30,34031.04
F_353081_2906005,25714.17,4630.55,2497.40,3015.30,35857.42
F_353083_2905948,23447.83,4630.55,2497.40,3534.50,34110.28
F_353084_2905882,26191.13,5149.75,2757.00,3015.30,37113.18
F_353065_2906524,23202.30,4630.55,2757.00,3015.30,33605.15
F_353068_2906466,25663.51,4630.55,2497.40,3015.30,35806.76
F_353070_2906407,24276.94,4241.15,2497.40,3015.30,34030.79
F_353071_2906351,19170.15,2574.88,2497.40,1767.25,26009.67
F_353072_2906301,19607.64,2704.68,2497.40,1507.65,26317.36
F_353075_2906250,27343.11,4241.15,2757.00,3015.30,37356.56
F_353076_2906202,19607.64,2315.28,2497.40,1507.65,25927.96
F_353076_2906153,18233.74,2315.28,2497.40,1767.25,24813.66
F_352896_2905980,22894.06,3872.88,2497.40,1767.25,31031.58
F_352899_2905925,33466.17,6426.63,5514.00,5301.75,50708.55
F_352933_2905872,17377.16,2574.88,2757.00,1507.65,24216.68
F_352934_2905821,18543.73,2704.68,2497.40,1507.65,25253.45
F_352880_2906576,30100.70,4500.75,2757.00,3534.50,40892.95
F_352880_2906499,20014.36,3223.88,2757.00,1767.25,27762.48
F_352882_2906423,21814.43,4630.55,2497.40,3015.30,31957.68
F_352885_2906357,29383.41,4630.55,2757.00,3534.50,40305.46
F_352887_2906287,22854.12,4630.55,2497.40,3015.30,32997.37
F_352890_2906228,23985.67,5798.75,2757.00,3534.50,36075.92
F_352890_2906177,29670.61,6556.43,4994.80,4522.95,45744.78
F_352893_2906128,25094.22,4630.55,2497.40,3015.30,35237.47
F_352894_2906076,26452.72,5149.75,2757.00,3015.30,37374.77
F_352862_2906837,32789.19,4630.55,2497.40,3015.30,42932.44
F_352872_2906754,26668.35,4500.75,2757.00,3534.50,37460.60
F_352875_2906695,21463.47,3223.88,2757.00,1767.25,29211.60
F_352876_2906637,22645.86,3851.75,2757.00,3015.30,32269.91
