building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_714592_2938902,27641.00,2575.00,2757.00,1767.00,34740.00,2031
F_714723_2938816,26529.00,2315.00,2497.00,1508.00,32849.00,2025
F_714815_2939003,20871.00,2575.00,2497.00,1767.00,27711.00,2025
F_714897_2938859,27296.00,2575.00,2757.00,1767.00,34395.00,2025
F_714956_2939056,23582.00,2575.00,2497.00,1767.00,30421.00,2025
F_715018_2938902,32279.00,2315.00,2757.00,1767.00,39119.00,2025
F_715074_2938797,29018.00,2315.00,2757.00,1508.00,35598.00,2025
F_715113_2939056,34346.00,2315.00,2757.00,1767.00,41185.00,2025
F_715117_2938698,23563.00,2315.00,2497.00,1767.00,30143.00,2025
F_715195_2938669,19839.00,2315.00,2497.00,1508.00,26160.00,2041
F_715218_2938954,24018.00,2315.00,2757.00,1767.00,30858.00,2025
F_715268_2938629,23650.00,2575.00,2497.00,1767.00,30489.00,2025
F_715284_2938843,36419.00,2575.00,2757.00,1767.00,43518.00,2025
F_715382_2938560,26339.00,2575.00,2757.00,1767.00,33438.00,2025
F_715419_2938797,28201.00,2575.00,2757.00,1767.00,35300.00,2025
F_715497_2938593,23925.00,2315.00,2757.00,1767.00,30764.00,2025
F_715583_2938646,39045.00,2575.00,2757.00,1508.00,45884.00,2025
F_715583_2938872,22866.00,2575.00,2497.00,1508.00,29446.00,2025
F_715674_2938757,34856.00,3873.00,2757.00,1767.00,43253.00,2025
F_753409_2716987,73350.00,11576.00,11028.00,7538.00,103492.00,2025
F_753421_2717033,73698.00,12874.00,11028.00,8836.00,106437.00,2025
F_753432_2717080,65262.00,12225.00,9990.00,8836.00,96313.00,2025
F_753569_2717047,48021.00,9002.00,7492.00,6031.00,70545.00,2025
F_753492_2717319,19739.00,5799.00,2757.00,3535.00,31829.00,2025
F_753581_2717093,82410.00,11576.00,11028.00,7538.00,112552.00,2025
F_753474_2717148,48592.00,6427.00,5514.00,5302.00,65834.00,2025
F_753588_2717245,17075.00,3873.00,2497.00,1767.00,25212.00,2025
F_753480_2717271,51511.00,6946.00,5514.00,4523.00,68494.00,2025
F_753629_2717285,58453.00,9023.00,4995.00,5302.00,77772.00,2025
F_753504_2717366,76501.00,13523.00,9990.00,7538.00,107552.00,2025
F_753515_2717411,83802.00,12723.00,13785.00,10604.00,120914.00,2025
F_753646_2717355,45753.00,7076.00,4995.00,5302.00,63126.00,2025
F_753526_2717454,34861.00,5150.00,2757.00,3535.00,46302.00,2025
F_753663_2717423,38171.00,5020.00,2497.00,3535.00,49223.00,2025
F_753674_2717470,46750.00,5778.00,4995.00,4523.00,62045.00,2025
