building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_714592_2938902,22144.00,2886.00,3097.00,1954.00,30081.00,2034
F_714723_2938816,21254.00,2626.00,2837.00,1694.00,28411.00,2025
F_714815_2939003,16721.00,2886.00,2837.00,1954.00,24397.00,2025
F_714897_2938859,22117.00,2886.00,3097.00,1954.00,30053.00,2025
F_714956_2939056,18892.00,2886.00,3097.00,1954.00,26828.00,2025
F_715018_2938902,19926.00,2626.00,2837.00,1954.00,27343.00,2025
F_715074_2938797,23248.00,2886.00,3097.00,1954.00,31184.00,2025
F_715113_2939056,27830.00,2886.00,3097.00,1954.00,35766.00,2025
F_715117_2938698,18878.00,2886.00,3097.00,1694.00,26554.00,2025
F_715195_2938669,15894.00,2626.00,2837.00,1694.00,23051.00,2029
F_715218_2938954,19242.00,2886.00,3097.00,1954.00,27178.00,2025
F_715268_2938629,18947.00,2886.00,3097.00,1954.00,26883.00,2025
F_715284_2938843,19928.00,2626.00,3097.00,1954.00,27605.00,2025
F_715382_2938560,21101.00,2886.00,3097.00,1954.00,29037.00,2025
F_715419_2938797,16131.00,2626.00,2837.00,1954.00,23548.00,2025
F_715497_2938593,19167.00,2626.00,2837.00,1954.00,26584.00,2025
F_715583_2938646,23058.00,2886.00,3097.00,1954.00,30994.00,2025
F_715583_2938872,18319.00,2626.00,2837.00,1954.00,25736.00,2025
F_715674_2938757,20584.00,4184.00,2837.00,1954.00,29559.00,2025
F_753409_2716987,52379.00,14428.00,12388.00,9768.00,88963.00,2025
F_753421_2717033,52628.00,14428.00,11350.00,9768.00,88173.00,2025
F_753432_2717080,46603.00,13779.00,12388.00,8470.00,81240.00,2025
F_753569_2717047,31449.00,10244.00,9291.00,7815.00,58798.00,2025
F_753492_2717319,14095.00,7718.00,2837.00,3907.00,28558.00,2025
F_753581_2717093,58849.00,13130.00,12388.00,9768.00,94134.00,2025
F_753474_2717148,34700.00,7359.00,6194.00,5082.00,53334.00,2025
F_753588_2717245,13679.00,4184.00,3097.00,1954.00,22913.00,2025
F_753480_2717271,36784.00,7878.00,6194.00,5082.00,55938.00,2025
F_753629_2717285,41741.00,9955.00,6194.00,5861.00,63750.00,2025
F_753504_2717366,54629.00,15077.00,12388.00,8470.00,90564.00,2025
F_753515_2717411,59843.00,15366.00,15485.00,10164.00,100859.00,2025
F_753646_2717355,29964.00,8008.00,5675.00,5861.00,49507.00,2025
F_753526_2717454,24894.00,5771.00,2837.00,3907.00,37410.00,2025
F_753663_2717423,27258.00,6420.00,3097.00,3388.00,40163.00,2025
F_753674_2717470,33384.00,6710.00,5675.00,5861.00,51629.00,2025
