building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,7184.59,1321.28,1341.40,1507.65,11354.91
F_350331_2902122,7184.59,1321.28,1341.40,1507.65,11354.91
F_350330_2902182,7836.34,1321.28,1341.40,1507.65,12006.67
F_350331_2902242,7428.69,1321.28,1341.40,1507.65,11599.01
F_350332_2902301,8501.46,1321.28,1341.40,1507.65,12671.79
F_350333_2902360,7802.74,1321.28,1341.40,1507.65,11973.07
F_350334_2902417,7802.74,1321.28,1341.40,1507.65,11973.07
F_350335_2902479,7207.34,1321.28,1341.40,1507.65,11377.67
F_350460_2902490,6974.57,1321.28,1341.40,1507.65,11144.89
F_350459_2902427,6974.57,1321.28,1341.40,1507.65,11144.89
F_350459_2902366,8640.17,1321.28,1341.40,1507.65,12810.49
F_350459_2902307,7852.98,1321.28,1341.40,1507.65,12023.31
F_350459_2902248,7610.96,1321.28,1341.40,1507.65,11781.28
F_350458_2902189,7966.17,1321.28,1341.40,1507.65,12136.49
F_350458_2902131,6974.57,1321.28,1341.40,1507.65,11144.89
F_350457_2902072,7471.25,1321.28,1341.40,1507.65,11641.57
F_353059_2906776,11276.47,1321.28,1341.40,1507.65,15446.80
F_353062_2906646,28627.34,2642.55,1341.40,3015.30,35626.59
F_353064_2906586,27458.20,2642.55,1341.40,3015.30,34457.45
F_353079_2906099,28064.83,2642.55,1341.40,3015.30,35064.08
F_353079_2906053,26099.29,2642.55,1341.40,3015.30,33098.54
F_353081_2906005,27986.49,2642.55,1341.40,3015.30,34985.74
F_353083_2905948,25644.68,2642.55,1341.40,3015.30,32643.93
F_353084_2905882,28479.33,2642.55,1341.40,3015.30,35478.58
F_353065_2906524,25390.97,2642.55,1341.40,3015.30,32390.22
F_353068_2906466,27934.14,2642.55,1341.40,3015.30,34933.39
F_353070_2906407,26501.40,2642.55,1341.40,3015.30,33500.65
F_353071_2906351,9190.29,1321.28,1341.40,1507.65,13360.61
F_353072_2906301,8908.49,1321.28,1341.40,1507.65,13078.82
F_353075_2906250,29669.68,2642.55,1341.40,3015.30,36668.93
F_353076_2906202,8908.49,1321.28,1341.40,1507.65,13078.82
F_353076_2906153,8086.60,1321.28,1341.40,1507.65,12256.92
F_352896_2905980,10763.61,1321.28,1341.40,1507.65,14933.94
F_352899_2905925,36704.65,3963.83,2682.80,4522.95,47874.22
F_352933_2905872,7739.97,1321.28,1341.40,1507.65,11910.29
F_352934_2905821,8913.12,1321.28,1341.40,1507.65,13083.44
F_352880_2906576,32519.09,2642.55,1341.40,3015.30,39518.34
F_352880_2906499,8807.16,1321.28,1341.40,1507.65,12977.48
F_352882_2906423,23956.88,2642.55,1341.40,3015.30,30956.13
F_352885_2906357,31777.92,2642.55,1341.40,3015.30,38777.17
F_352887_2906287,19386.73,2642.55,1341.40,3015.30,26385.98
F_352890_2906228,26200.43,2642.55,1341.40,3015.30,33199.68
F_352890_2906177,32782.68,3963.83,2682.80,4522.95,43952.26
F_352893_2906128,27345.89,2642.55,1341.40,3015.30,34345.14
F_352894_2906076,28749.63,2642.55,1341.40,3015.30,35748.88
F_352862_2906837,35297.12,2642.55,1341.40,3015.30,42296.37
F_352872_2906754,28972.44,2642.55,1341.40,3015.30,35971.69
F_352875_2906695,10205.03,1321.28,1341.40,1507.65,14375.35
F_352876_2906637,24816.00,2642.55,1341.40,3015.30,31815.25
