building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_714592_2938902,20931.98,2625.90,1477.40,1953.63,26988.91,2034
F_714723_2938816,20089.86,2625.90,1477.40,1694.03,25887.19,2045
F_714815_2939003,15805.32,2885.50,1477.40,1953.63,22121.85,2030
F_714897_2938859,20626.10,2625.90,1477.40,1953.63,26683.03,2036
F_714956_2939056,17857.74,2885.50,1477.40,1953.63,24174.27,2039
F_715018_2938902,21024.71,2625.90,1477.40,1953.63,27081.63,2039
F_715074_2938797,21974.92,2625.90,1477.40,1694.03,27772.24,2045
F_715113_2939056,25953.73,2885.50,1477.40,1953.63,32270.25,2027
F_715117_2938698,17843.97,2625.90,1477.40,1694.03,23641.29,2028
F_715195_2938669,15023.73,2625.90,1477.40,1694.03,20821.06,2029
F_715218_2938954,18188.56,2625.90,1477.40,1694.03,23985.89,2027
F_715268_2938629,17909.30,2885.50,1477.40,1953.63,24225.82,2027
F_715284_2938843,23832.78,2885.50,1477.40,1953.63,30149.30,2045
F_715382_2938560,19945.54,2885.50,1477.40,1953.63,26262.06,2030
F_715419_2938797,18368.43,2885.50,1477.40,1953.63,24684.96,2033
F_715497_2938593,18117.45,2885.50,1477.40,1694.03,24174.38,2029
F_715583_2938646,25551.14,2885.50,1477.40,1953.63,31867.67,2039
F_715583_2938872,17315.99,2625.90,1477.40,1953.63,23372.92,2040
F_715674_2938757,21718.65,5481.50,1477.40,1694.03,30371.58,2039
F_753409_2716987,49511.27,13129.50,5909.60,9768.13,78318.50,2025
F_753421_2717033,49746.60,13129.50,5909.60,8470.13,77255.82,2040
F_753432_2717080,44051.82,13778.50,5909.60,8470.13,72210.04,2025
F_753569_2717047,35811.27,9724.80,4432.20,7814.50,57782.77,2027
F_753492_2717319,13323.71,7718.00,1477.40,3907.25,26426.36,2028
F_753581_2717093,55626.68,13129.50,5909.60,9768.13,84433.90,2031
F_753474_2717148,32799.74,7098.90,2954.80,5082.08,47935.51,2034
F_753588_2717245,12930.37,4183.50,1477.40,1953.63,20544.90,2038
F_753480_2717271,34770.15,8656.50,2954.80,5860.88,52242.33,2030
F_753629_2717285,39455.71,9954.50,2954.80,5860.88,58225.88,2036
F_753504_2717366,51638.22,15076.50,5909.60,9768.13,82392.45,2029
F_753515_2717411,56566.84,14587.20,7387.00,11721.75,90262.79,2034
F_753646_2717355,34120.56,8007.50,2954.80,5860.88,50943.74,2028
F_753526_2717454,23531.02,5251.80,1477.40,3907.25,34167.47,2038
F_753663_2717423,25765.49,6420.00,1477.40,3388.05,37050.94,2029
F_753674_2717470,31556.15,6709.50,2954.80,5082.08,46302.53,2028
