building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,12308.45,2315.28,1341.4,1507.65,17472.77
F_350331_2902122,12308.45,2315.28,1341.4,1507.65,17472.77
F_350330_2902182,13547.08,2315.28,1341.4,1507.65,18711.4
F_350331_2902242,12772.35,2315.28,1341.4,1507.65,17936.67
F_350332_2902301,14811.11,2315.28,1341.4,1507.65,19975.43
F_350333_2902360,13483.23,2315.28,1341.4,1507.65,18647.55
F_350334_2902417,13483.23,2315.28,1341.4,1507.65,18647.55
F_350335_2902479,12351.7,2315.28,1341.4,1507.65,17516.02
F_350460_2902490,13538.06,239.13,245,239.13,14261.31
F_350459_2902427,13538.06,239.13,245,239.13,14261.31
F_350459_2902366,15074.71,2315.28,1341.4,1507.65,20239.03
F_350459_2902307,15435.76,239.13,245,239.13,16159.01
F_350459_2902248,13118.75,2315.28,1341.4,1507.65,18283.07
F_350458_2902189,13793.81,2315.28,1341.4,1507.65,18958.13
F_350458_2902131,13538.06,239.13,245,239.13,14261.31
F_350457_2902072,14611.07,239.13,245,239.13,15334.32
F_353059_2906776,19295.59,2704.68,1341.4,1507.65,24849.32
F_353062_2906646,36433.15,4630.55,1341.4,3015.3,45420.4
F_353064_2906586,34867.8,4630.55,1341.4,3015.3,43855.05
F_353079_2906099,35680.02,4630.55,1341.4,3015.3,44667.27
F_353079_2906053,33048.36,4630.55,1341.4,3015.3,42035.61
F_353081_2906005,35575.13,4630.55,1341.4,3015.3,44562.38
F_353083_2905948,37016.47,478.25,245,478.25,38217.97
F_353084_2905882,41347.24,478.25,245,478.25,42548.74
F_353065_2906524,36628.85,478.25,245,478.25,37830.35
F_353068_2906466,35505.03,4630.55,1341.4,3015.3,44492.28
F_353070_2906407,33586.74,4241.15,1341.4,3015.3,42184.59
F_353071_2906351,16912.21,239.13,245,239.13,17635.46
F_353072_2906301,15584.65,2704.68,1341.4,1507.65,21138.38
F_353075_2906250,43165.84,239.13,245,478.25,44128.22
F_353076_2906202,15584.65,2315.28,1341.4,1507.65,20748.98
F_353076_2906153,15940.46,239.13,245,239.13,16663.71
F_352896_2905980,19879.84,717.38,245,239.13,21081.34
F_352899_2905925,52832.16,239.13,490,717.38,54278.66
F_352933_2905872,15191.61,239.13,245,239.13,15914.86
F_352934_2905821,14980.65,2704.68,1341.4,1507.65,20534.37
F_352880_2906576,47519.17,239.13,245,478.25,48481.54
F_352880_2906499,17497.13,478.25,245,239.13,18459.5
F_352882_2906423,30179.89,4630.55,1341.4,3015.3,39167.14
F_352885_2906357,46386.82,478.25,245,478.25,47588.32
F_352887_2906287,32904.82,4630.55,1341.4,3015.3,8987.25
F_352890_2906228,37865.54,717.38,245,478.25,39306.17
F_352890_2906177,41048.79,6556.43,2682.8,4522.95,54810.96
F_352893_2906128,34717.43,4630.55,1341.4,3015.3,43704.68
F_352894_2906076,41760.21,478.25,245,478.25,42961.71
F_352862_2906837,45363.3,4630.55,1341.4,3015.3,54350.55
F_352872_2906754,42100.61,239.13,245,478.25,43062.98
F_352875_2906695,18935.42,478.25,245,239.13,19897.79
F_352876_2906637,35750.42,3851.75,245,478.25,36473.67
