building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,next_retrofit_year
F_714592_2938902,22144.43,2885.50,2837.40,1953.63,29820.96,2034
F_714723_2938816,21253.53,2625.90,2837.40,1694.03,28410.86,2045
F_714815_2939003,16720.82,2885.50,3097.00,1953.63,24656.95,2029
F_714897_2938859,22117.32,2625.90,3097.00,1953.63,29793.84,2036
F_714956_2939056,18892.12,2885.50,2837.40,1953.63,26568.65,2039
F_715018_2938902,19926.44,2885.50,3097.00,1953.63,27862.57,2039
F_715074_2938797,23247.78,2885.50,3097.00,1694.03,30924.30,2045
F_715113_2939056,27830.12,2625.90,3097.00,1953.63,35506.64,2026
F_715117_2938698,18877.55,2885.50,2837.40,1694.03,26294.47,2026
F_715195_2938669,15893.96,2625.90,2837.40,1694.03,23051.28,2028
F_715218_2938954,19242.11,2885.50,3097.00,1953.63,27178.23,2029
F_715268_2938629,18946.66,2885.50,3097.00,1953.63,26882.79,2027
F_715284_2938843,21507.25,2625.90,3097.00,1694.03,28924.18,2045
F_715382_2938560,21100.85,2885.50,2837.40,1953.63,28777.38,2028
F_715419_2938797,16130.86,2885.50,2837.40,1953.63,23807.38,2033
F_715497_2938593,19166.88,2885.50,3097.00,1694.03,26843.40,2029
F_715583_2938646,23057.94,2885.50,3097.00,1694.03,30734.47,2039
F_715583_2938872,18318.99,2885.50,3097.00,1953.63,26255.12,2040
F_715674_2938757,20584.14,5481.50,2837.40,1953.63,30856.66,2039
F_753409_2716987,52379.13,14427.50,12388.00,9768.13,88962.76,2027
F_753421_2717033,52628.09,14427.50,12388.00,9768.13,89211.72,2040
F_753432_2717080,46603.45,13778.50,12388.00,9768.13,82538.07,2029
F_753569_2717047,31448.88,10244.00,8512.20,6776.10,56981.18,2025
F_753492_2717319,14095.46,7718.00,2837.40,3907.25,28558.11,2026
F_753581_2717093,58848.76,12350.70,12388.00,8470.13,92057.59,2031
F_753474_2717148,34699.61,7358.50,5674.80,5860.88,53593.78,2034
F_753588_2717245,13679.34,3404.70,3097.00,1953.63,22134.67,2038
F_753480_2717271,36784.16,8656.50,5674.80,5860.88,56976.33,2030
F_753629_2717285,41741.11,9954.50,6194.00,5860.88,63750.49,2036
F_753504_2717366,54629.28,13518.90,11349.60,8470.13,87967.91,2029
F_753515_2717411,59843.38,15366.00,15485.00,10164.15,100858.53,2034
F_753646_2717355,29964.13,7488.30,5674.80,5082.08,48209.30,2030
F_753526_2717454,24894.01,5251.80,3097.00,3907.25,37150.06,2038
F_753663_2717423,27257.91,6420.00,2837.40,3388.05,39903.36,2025
F_753674_2717470,33383.99,6709.50,6194.00,5860.88,52148.37,2029
