gisid,parentid,circuit,og_ug,phase,sec_wsize,sec_wtype,inst_date,inst_cost,LOC_ID,lifetime
EV001,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352862_2906837,40
EV003,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352872_2906754,40
EV002,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353059_2906776,40
EV005,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352875_2906695,40
EV007,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352876_2906637,40
EV004,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353062_2906646,40
EV006,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353064_2906586,40
EV009,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352880_2906576,40
EV011,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352880_2906499,40
EV008,ES003,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353065_2906524,40
EV010,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353068_2906466,40
EV013,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352882_2906423,40
EV012,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353070_2906407,40
EV015,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352885_2906357,40
EV014,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353071_2906351,40
EV016,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353072_2906301,40
EV021,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352887_2906287,40
EV023,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352890_2906228,40
EV018,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353075_2906250,40
EV025,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352890_2906177,40
EV022,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353076_2906202,40
EV027,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352893_2906128,40
EV024,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353076_2906153,40
EV029,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352894_2906076,40
EV026,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353079_2906099,40
EV028,ES002,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353079_2906053,40
EV032,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353081_2906005,40
EV033,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352896_2905980,40
EV035,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352899_2905925,40
EV036,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353083_2905948,40
EV038,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_353084_2905882,40
EV037,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352933_2905872,40
EV039,ES001,99,oh,C,2,TRIPLEX,1/1/10,1000,F_352934_2905821,40
