gisid,parentid,inst_date,inst_cost,diameter,material,length_ft,LOC_ID,lifetime,replacement_cost
GS003,GP001,1/1/1950,1000,1,CI,20,F_352872_2906754,40,11000
GS005,GP001,1/1/1950,1000,1,CI,20,F_352875_2906695,40,11000
GS007,GP001,1/1/1950,1000,1,CI,20,F_352876_2906637,40,11000
GS008,GP001,1/1/1950,1000,1,CI,20,F_353065_2906524,40,11000
GS009,GP001,1/1/1950,1000,1,CI,20,F_352880_2906576,40,11000
GS011,GP001,1/1/1950,1000,1,CI,20,F_352880_2906499,40,11000
GS014,GP001,1/1/1950,1000,1,CI,20,F_353071_2906351,40,11000
GS015,GP001,1/1/1950,1000,1,CI,20,F_352885_2906357,40,11000
GS018,GP001,1/1/1950,1000,1,CI,20,F_353075_2906250,40,11000
GS023,GP001,1/1/1950,1000,1,CI,20,F_352890_2906228,40,11000
GS024,GP001,1/1/1950,1000,1,CI,20,F_353076_2906153,40,11000
GS029,GP001,1/1/1950,1000,1,CI,20,F_352894_2906076,40,11000
GS033,GP001,1/1/1950,1000,1,CI,20,F_352896_2905980,40,11000
GS035,GP001,1/1/1950,1000,1,CI,20,F_352899_2905925,40,11000
GS036,GP001,1/1/1950,1000,1,CI,20,F_353083_2905948,40,11000
GS037,GP001,1/1/1950,1000,1,CI,20,F_352933_2905872,40,11000
GS038,GP001,1/1/1950,1000,1,CI,20,F_353084_2905882,40,11000
