gisid,parentid,LOC_ID,type,solar,inst_date,inst_cost,lifetime
EM003,EV003,F_715583_2938872,Basic,FALSE,1/1/2020,300,40
EM011,EV011,F_715419_2938797,Basic,FALSE,1/1/2020,300,40
EM002,EV002,F_715674_2938757,Basic,FALSE,1/1/2020,300,40
EM006,EV006,F_715583_2938646,Basic,FALSE,1/1/2020,300,40
EM010,EV010,F_715497_2938593,Basic,FALSE,1/1/2020,300,40
EM018,EV018,F_715195_2938669,Basic,FALSE,1/1/2020,300,40
EM020,EV020,F_715117_2938698,Basic,FALSE,1/1/2020,300,40
EM014,EV014,F_715268_2938629,Basic,FALSE,1/1/2020,300,40
EM012,EV012,F_715382_2938560,Basic,FALSE,1/1/2020,300,40
EM038,EV038,F_714897_2938859,Basic,FALSE,1/1/2020,300,40
EM030,EV030,F_715018_2938902,Basic,FALSE,1/1/2020,300,40
EM024,EV024,F_715074_2938797,Basic,FALSE,1/1/2020,300,40
EM019,EV019,F_715284_2938843,Basic,FALSE,1/1/2020,300,40
EM025,EV025,F_715218_2938954,Basic,FALSE,1/1/2020,300,40
EM029,EV029,F_715113_2939056,Basic,FALSE,1/1/2020,300,40
EM049,EV049,F_714592_2938902,Basic,FALSE,1/1/2020,300,40
EM350,EV350,F_714723_2938816,Basic,FALSE,1/1/2020,300,40
EM035,EV035,F_714956_2939056,Basic,FALSE,1/1/2020,300,40
EM041,EV041,F_714815_2939003,Basic,FALSE,1/1/2020,300,40
