gisid,parentid,inst_date,inst_cost,LOC_ID,lifetime,replacement_cost,replacement_freq
GM049,GS049,1/1/18,300,F_714592_2938902,40,400,7
GM041,GS041,1/1/18,300,F_714815_2939003,40,400,7
GM035,GS035,1/1/18,300,F_714956_2939056,40,400,7
GM029,GS029,1/1/18,300,F_715113_2939056,40,400,7
GM025,GS025,1/1/18,300,F_715218_2938954,40,400,7
GM019,GS019,1/1/18,300,F_715284_2938843,40,400,7
GM011,GS011,1/1/18,300,F_715419_2938797,40,400,7
GM003,GS003,1/1/18,300,F_715583_2938872,40,400,7
GM002,GS002,1/1/18,300,F_715674_2938757,40,400,7
GM006,GS006,1/1/18,300,F_715583_2938646,40,400,7
GM010,GS010,1/1/18,300,F_715497_2938593,40,400,7
GM012,GS012,1/1/18,300,F_715382_2938560,40,400,7
GM014,GS014,1/1/18,300,F_715268_2938629,40,400,7
GM020,GS020,1/1/18,300,F_715117_2938698,40,400,7
GM024,GS024,1/1/18,300,F_715074_2938797,40,400,7
GM030,GS030,1/1/18,300,F_715018_2938902,40,400,7
GM038,GS038,1/1/18,300,F_714897_2938859,40,400,7
