LOC_ID,gisid,parentid,inst_date,inst_cost,lifetime
IL_1224309006,EM001,EV001,1/1/20,300,400
IL_1224309015,EM002,EV002,1/1/20,300,400
IL_1224308038,EM003,EV003,1/1/20,300,400
IL_1224308031,EM004,EV004,1/1/20,300,400
IL_1224308029,EM005,EV005,1/1/20,300,400
IL_1224309013,EM006,EV006,1/1/20,300,400
IL_1224308022,EM007,EV007,1/1/20,300,400
IL_1224309017,EM008,EV008,1/1/20,300,400
IL_1224308030,EM009,EV009,1/1/20,300,400
IL_1224309008,EM010,EV010,1/1/20,300,400
IL_1224309019,EM011,EV011,1/1/20,300,400
IL_1224309016,EM012,EV012,1/1/20,300,400
IL_1224308025,EM013,EV013,1/1/20,300,400
IL_1224309001,EM014,EV014,1/1/20,300,400
IL_1224308021,EM015,EV015,1/1/20,300,400
IL_1224309012,EM016,EV016,1/1/20,300,400
IL_1224308024,EM017,EV017,1/1/20,300,400
IL_1224309018,EM018,EV018,1/1/20,300,400
IL_1224309002,EM019,EV019,1/1/20,300,400
IL_1224309010,EM020,EV020,1/1/20,300,400
IL_1224309003,EM021,EV021,1/1/20,300,400
IL_1224309011,EM022,EV022,1/1/20,300,400
IL_1224308035,EM023,EV023,1/1/20,300,400
IL_1224308033,EM024,EV024,1/1/20,300,400
IL_1224308028,EM025,EV025,1/1/20,300,400
IL_1224308034,EM026,EV026,1/1/20,300,400
IL_1224308036,EM027,EV027,1/1/20,300,400
IL_1224309007,EM028,EV028,1/1/20,300,400
IL_1224308040,EM029,EV029,1/1/20,300,400
IL_1224309020,EM030,EV030,1/1/20,300,400
IL_1224308039,EM031,EV031,1/1/20,300,400
IL_1224308037,EM032,EV032,1/1/20,300,400
IL_1224309014,EM033,EV033,1/1/20,300,400
IL_1224308032,EM034,EV034,1/1/20,300,400
IL_1224308023,EM035,EV035,1/1/20,300,400
IL_1224309009,EM036,EV036,1/1/20,300,400
IL_1224308026,EM037,EV037,1/1/20,300,400
IL_1224309005,EM038,EV038,1/1/20,300,400
IL_1224308027,EM039,EV039,1/1/20,300,400
IL_1224309004,EM040,EV040,1/1/20,300,400
