gisid,parentid,inst_date,inst_cost,LOC_ID,lifetime
EV001,ES004,1/1/00,2000,IL_1224309006,40
EV002,ES003,1/1/00,2000,IL_1224309015,40
EV003,ES001,1/1/00,2000,IL_1224308038,40
EV004,ES001,1/1/00,2000,IL_1224308031,40
EV005,ES002,1/1/00,2000,IL_1224308029,40
EV006,ES003,1/1/00,2000,IL_1224309013,40
EV007,ES002,1/1/00,2000,IL_1224308022,40
EV008,ES003,1/1/00,2000,IL_1224309017,40
EV009,ES002,1/1/00,2000,IL_1224308030,40
EV010,ES004,1/1/00,2000,IL_1224309008,40
EV011,ES003,1/1/00,2000,IL_1224309019,40
EV012,ES003,1/1/00,2000,IL_1224309016,40
EV013,ES002,1/1/00,2000,IL_1224308025,40
EV014,ES004,1/1/00,2000,IL_1224309001,40
EV015,ES002,1/1/00,2000,IL_1224308021,40
EV016,ES003,1/1/00,2000,IL_1224309012,40
EV017,ES002,1/1/00,2000,IL_1224308024,40
EV018,ES003,1/1/00,2000,IL_1224309018,40
EV019,ES004,1/1/00,2000,IL_1224309002,40
EV020,ES004,1/1/00,2000,IL_1224309010,40
EV021,ES004,1/1/00,2000,IL_1224309003,40
EV022,ES003,1/1/00,2000,IL_1224309011,40
EV023,ES001,1/1/00,2000,IL_1224308035,40
EV024,ES001,1/1/00,2000,IL_1224308033,40
EV025,ES002,1/1/00,2000,IL_1224308028,40
EV026,ES001,1/1/00,2000,IL_1224308034,40
EV027,ES001,1/1/00,2000,IL_1224308036,40
EV028,ES004,1/1/00,2000,IL_1224309007,40
EV029,ES001,1/1/00,2000,IL_1224308040,40
EV030,ES003,1/1/00,2000,IL_1224309020,40
EV031,ES001,1/1/00,2000,IL_1224308039,40
EV032,ES001,1/1/00,2000,IL_1224308037,40
EV033,ES003,1/1/00,2000,IL_1224309014,40
EV034,ES001,1/1/00,2000,IL_1224308032,40
EV035,ES002,1/1/00,2000,IL_1224308023,40
EV036,ES004,1/1/00,2000,IL_1224309009,40
EV037,ES002,1/1/00,2000,IL_1224308026,40
EV038,ES004,1/1/00,2000,IL_1224309005,40
EV039,ES002,1/1/00,2000,IL_1224308027,40
EV040,ES004,1/1/00,2000,IL_1224309004,40
