gisid,parentid,type,solar,inst_date,inst_cost,LOC_ID,lifetime
EM216,EV216,Basic,FALSE,1/1/20,300,F_753409_2716987,40
EM228,EV228,Basic,FALSE,1/1/20,300,F_753421_2717033,40
EM234,EV234,Basic,FALSE,1/1/20,300,F_753432_2717080,40
EM235,EV235,Basic,FALSE,1/1/20,300,F_753569_2717047,40
EM245,EV245,Basic,FALSE,1/1/20,300,F_753581_2717093,40
EM254,EV254,Basic,FALSE,1/1/20,300,F_753474_2717148,40
EM273,EV273,Basic,FALSE,1/1/20,300,F_753588_2717245,40
EM274,EV274,Basic,FALSE,1/1/20,300,F_753480_2717271,40
EM288,EV288,Basic,FALSE,1/1/20,300,F_753492_2717319,40
EM287,EV287,Basic,TRUE,1/1/20,300,F_753629_2717285,40
EM292,EV292,Basic,FALSE,1/1/20,300,F_753504_2717366,40
EM302,EV302,Basic,FALSE,1/1/20,300,F_753515_2717411,40
EM303,EV303,Basic,FALSE,1/1/20,300,F_753646_2717355,40
EM312,EV312,Basic,FALSE,1/1/20,300,F_753526_2717454,40
EM315,EV315,Basic,FALSE,1/1/20,300,F_753663_2717423,40
EM875,EV875,Basic,FALSE,1/1/20,300,F_753674_2717470,40
