gisid,parentid,inst_cost,inst_date,LOC_ID,lifetime,replacement_cost,replacement_freq
GM003,GS003,300,1/1/2020,F_352872_2906754,40,1100,7
GM005,GS005,300,1/1/2020,F_352875_2906695,40,1100,7
GM007,GS007,300,1/1/2020,F_352876_2906637,40,1100,7
GM008,GS008,300,1/1/2020,F_353065_2906524,40,1100,7
GM009,GS009,300,1/1/2020,F_352880_2906576,40,1100,7
GM011,GS011,300,1/1/2020,F_352880_2906499,40,1100,7
GM014,GS014,300,1/1/2020,F_353071_2906351,40,1100,7
GM015,GS015,300,1/1/2020,F_352885_2906357,40,1100,7
GM018,GS018,300,1/1/2020,F_353075_2906250,40,1100,7
GM023,GS023,300,1/1/2020,F_352890_2906228,40,1100,7
GM024,GS024,300,1/1/2020,F_353076_2906153,40,1100,7
GM029,GS029,300,1/1/2020,F_352894_2906076,40,1100,7
GM033,GS033,300,1/1/2020,F_352896_2905980,40,1100,7
GM035,GS035,300,1/1/2020,F_352899_2905925,40,1100,7
GM036,GS036,300,1/1/2020,F_353083_2905948,40,1100,7
GM037,GS037,300,1/1/2020,F_352933_2905872,40,1100,7
GM038,GS038,300,1/1/2020,F_353084_2905882,40,1100,7
