gisid,parentid,circuit,oh_ug,phase,sec_wsize,sec_wtype,inst_date,inst_cost,LOC_ID,lifetime
EV875,ES233,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753674_2717470,40
EV315,ES233,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753663_2717423,40
EV312,ES233,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753526_2717454,40
EV302,TB203,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753515_2717411,40
EV303,TB203,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753646_2717355,40
EV292,ES213,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753504_2717366,40
EV288,ES213,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753492_2717319,40
EV287,ES213,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753629_2717285,40
EV273,ES223,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753588_2717245,40
EV274,ES223,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753480_2717271,40
EV254,TB202,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753474_2717148,40
EV245,TB202,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753581_2717093,40
EV235,ES212,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753569_2717047,40
EV234,ES212,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753432_2717080,40
EV228,TB201,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753421_2717033,40
EV216,TB201,200,OH,A,2,TRIPLEX,1/1/00,2000,F_753409_2716987,40
