gisid,parentid,inst_date,inst_cost,LOC_ID,lifetime,replacement_cost,replacement_freq
GM216,GS216,1/1/18,300,F_753409_2716987,40,400,7
GM228,GS228,1/1/18,300,F_753421_2717033,40,400,7
GM234,GS234,1/1/18,300,F_753432_2717080,40,400,7
GM235,GS235,1/1/18,300,F_753569_2717047,40,400,7
GM254,GS254,1/1/18,300,F_753474_2717148,40,400,7
GM245,GS245,1/1/18,300,F_753581_2717093,40,400,7
GM273,GS273,1/1/18,300,F_753588_2717245,40,400,7
GM274,GS274,1/1/18,300,F_753480_2717271,40,400,7
GM288,GS288,1/1/18,300,F_753492_2717319,40,400,7
GM287,GS287,1/1/18,300,F_753629_2717285,40,400,7
GM292,GS292,1/1/18,300,F_753504_2717366,40,400,7
GM303,GS303,1/1/18,300,F_753646_2717355,40,400,7
GM302,GS302,1/1/18,300,F_753515_2717411,40,400,7
GM312,GS312,1/1/18,300,F_753526_2717454,40,400,7
GM315,GS315,1/1/18,300,F_753663_2717423,40,400,7
GM875,GS875,1/1/18,300,F_753674_2717470,40,400,7
