DESC,Building Type
PMP/VLV HS,Office
2 FAMILY,Small Multifamily
4-8 FAM,Large Residential
3 FAMILY,Small Multifamily
APRTMNT-GN,Large Residential
APRTMNT-HR,Large Residential
DUPLEX,Small Multifamily
STORE,Retail
REPAIR GAR,Garage
BAR,Resturant
COMM BLOCK,Warehouse
ROW HOUSE,Small Multifamily
COLONIAL,Single Family
CONVEN MKT,Supermarket
GOVT BLDG,Office
OFFICE-PRO,Office
WAREHOUSE,Warehouse
CHURCH/SYN,Assembly
MX USE APT,Large Residential
MX USE < 9,Large Residential
SCHOOL,School
OLD STYLE,Single Family
RANCH,Single Family
SPLIT LEVL,Single Family
CAPE,Single Family
SPLIT ENT,Single Family
CONTEMP`RY,Single Family
VICTORIAN,Single Family
CONVENT`NL,Single Family
TUDOR,Single Family
ANTIQUE,Single Family
DORMITORY,Large Residential
BUNGALOW,Single Family
SHOP CTR,Retail
OFFICE,Office
BANK,Retail
SERVICE ST,Garage
FIRE STAT,Garage
RESTAURANT,Resturant
FAST FOOD,Resturant
R/M SHOP,Garage
TAKE OUT,Resturant
GARAGE,Warehouse
UTIL BLDG,Warehouse
PARKING,Garage
LODGE,Resturant
RELAY BLDG,Garage
CONDO-GRDN,Large Residential
CONDO-TNHS,Large Residential
4-8 FAMILY,Medium Multifamily
CONDO-OFC,Large Residential
HOSPITAL,Hospital
FUNERAL HM,Retail
INDUST-LT,Industrial
AUTO DEALR,Retail
CAR WASH,Other
GYMNASIUM,Assembly
APRTMNT-TH,Large Residential
SHOP PLAZA,Retail
NURSING HM,Large Residential
AUDITORIUM,Assembly
TOWER,Other
APT ASSIT,Large Residential
HEALTH CLB,Assembly
TRUCK TERM,Garage
INDUSTRIAL,Industrial
HOTEL,Hotel
CONDO-RTL,Retail
SHOP MALL,Retail
DEPT STORE,Retail
MILL,Industrial
INDUST-HVY,Industrial
SPLIT CAPE,Single Family
BANQUET,Resturant
MOTEL,Hotel
"CAMP,SEAS",Retail
PROCESSING,Industrial
WHSE-MINI,Warehouse
INN,Hotel
SUPER MKT,Supermarket
NIGHT CLUB,Resturant
BOWLING AL,Assembly
RINK,Assembly
POST OFF,Retail
