DESC,Building Type
FAMILY FLAT ,Small Multifamily
DUTCH COLON ,Single Family
N E COLONIAL,Single Family
CAPE COD    ,Single Family
COLONIAL    ,Single Family
RAISED RNCH ,Single Family
FAM CONV    ,Small Multifamily
CLB/LDG/HALL,Assembly
SPLIT/BI LEV,Single Family
RANCH       ,Single Family
MODERN      ,Single Family
FAM DUPLEX  ,Small Multifamily
SPLIT CAPE  ,Single Family
BUNGALOW    ,Small Multifamily
PUB SCHOOL  ,School
ANTIQUE     ,Single Family
APT 4-8     ,Large Residential
CONDEX CONDO,Small Multifamily
SPLIT GAMBRE,Single Family
AUTO SA/RPR ,Garage
SER SHOPS   ,Retail
STORE       ,Retail
OFC BLDG    ,Office
OTH MUNCPL  ,Office
WAREHOUSE   ,Garage
HEALTH CLUB ,Assembly
STORE/APT C ,Retail
QUONST BLD  ,Office
LT INDUSTRL ,Industrial
CHURCH      ,Assembly
SER STA 2BY ,Small Multifamily
FUNERAL HM  ,Office
CTY/TN HALL ,Assembly
CONVER CONDO,Small Multifamily
GARDEN CONDO,Small Multifamily
OTH FEDERAL ,Office
LIBRARY     ,Assembly
DWNTWN OFC  ,Office
COMM BLOCK  ,Office
RESTAURANT  ,Restaurant
APARTMENTS  ,Large Residential
PARKING GAR ,Garage
BRNCH BANK  ,Office
FINCL INST  ,Office
FFD REST    ,Resturant
RETAIL CONDO,Retail
SER STA 3BY ,Office
OFC CONDO   ,Office
TWNHSE CONDO,Small Multifamily
DRY CLN/LND ,Retail
OTHER STATE ,Office
SHP CNTR LO ,Retail
MILL        ,Warehouse 
ELDERLY HM  ,Large Residential
PRE ENG WH  ,Warehouse 
GAR/OFC     ,Garage
COMMERCIAL  ,Retail
CAMPS       ,Office
POLICE STA  ,Office
SUPERMRKT   ,Retail
BOWLING AL  ,Assembly
TRCK TERMNL ,Other
TELEPH BLDG ,Industry
HVY INDSTRL ,Industry
SER STA 1BY ,Small Multifamily
NRSING HM   ,Large Residential
SINGLE CONDO,Small Multifamily
HOTEL       ,Hotel
PROF BLDG   ,Office
OFC A       ,Office
FIRE STATION,Garage
COIN-OP CAR ,Garage
OUTBUILDINGS,Garage
RESRCH&DEV  ,Laboratory
MOBL HOME   ,Single Family
DORMITORY   ,Large Residential
INDUST CONDO,Industrial
PRE ENG MF  ,Warehouse 
CONDO       ,Large Residential
