LUC,DESC,USE_CLASS,mapping_label
13,MX USE APT,Commercial,13 - MX USE APT
13,COMM BLOCK,Commercial,13 - COMM BLOCK
13,MX USE < 9,Commercial,13 - MX USE < 9
13,VICTORIAN,Single Family,13 - VICTORIAN
13,2 FAMILY,Small Multifamily,13 - 2 FAMILY
13,COLONIAL,Single Family,13 - COLONIAL
13,3 FAMILY,Small Multifamily,13 - 3 FAMILY
13,OLD STYLE,Single Family,13 - OLD STYLE
13,RANCH,Single Family,13 - RANCH
13,FUNERAL HM,Commercial,13 - FUNERAL HM
13,CONVENT`NL,Large Residential,13 - CONVENT`NL
13,RESTAURANT,Restaurant,13 - RESTAURANT
13,DORMITORY,Large Residential,13 - DORMITORY
13,4-8 FAM,Large Residential,13 - 4-8 FAM
13,OFFICE,Commercial,13 - OFFICE
13,BAR,Restaurant,13 - BAR
13,ROW HOUSE,Single Family,13 - ROW HOUSE
13,STORE,Commercial,13 - STORE
17,OLD STYLE,Small Multifamily,17 - OLD STYLE
17,CONTEMP`RY,Small Multifamily,17 - CONTEMP`RY
17,,Commercial,17 - 
18,SPLIT ENT,Single Family,18 - SPLIT ENT
18,CONTEMP`RY,Single Family,18 - CONTEMP`RY
18,,Commercial,18 - 
19,RANCH,Single Family,19 - RANCH
19,APT ASSIT,Single Family,19 - APT ASSIT
19,OFFICE,Commercial,19 - OFFICE
19,MX USE APT,Commercial,19 - MX USE APT
19,DORMITORY,Large Residential,19 - DORMITORY
31,COMM BLOCK,Commercial,31 - COMM BLOCK
31,RESTAURANT,Restaurant,31 - RESTAURANT
31,OFFICE-PRO,Commercial,31 - OFFICE-PRO
31,FUNERAL HM,Commercial,31 - FUNERAL HM
31,STORE,Commercial,31 - STORE
31,MX USE < 9,Commercial,31 - MX USE < 9
31,OFFICE,Commercial,31 - OFFICE
31,OLD STYLE,Single Family,31 - OLD STYLE
31,CONVENT`NL,Single Family,31 - CONVENT`NL
31,WHSE-MINI,Commercial,31 - WHSE-MINI
31,BAR,Restaurant,31 - BAR
31,MILL,Commercial,31 - MILL
31,VICTORIAN,Single Family,31 - VICTORIAN
31,REPAIR GAR,Commercial,31 - REPAIR GAR
