DESC,Classification
FAMILY FLAT,Residential
DUTCH COLON,Residential
N E COLONIAL,Residential
CAPE COD,Residential
COLONIAL,Residential
RAISED RNCH,Residential
FAM CONV,Residential
CLB/LDG/HALL,Non-Residential
SPLIT/BI LEV,Residential
RANCH,Residential
MODERN,Residential
FAM DUPLEX,Residential
SPLIT CAPE,Residential
BUNGALOW,Residential
PUB SCHOOL,Non-Residential
ANTIQUE,Residential
APT 4-8,Residential
CONDEX CONDO,Residential
SPLIT GAMBRE,Residential
AUTO SA/RPR,Non-Residential
SER SHOPS,Non-Residential
STORE,Non-Residential
OFC BLDG,Non-Residential
OTH MUNCPL,Non-Residential
WAREHOUSE,Non-Residential
HEALTH CLUB,Non-Residential
STORE/APT C,Non-Residential
QUONST BLD,Non-Residential
LT INDUSTRL,Non-Residential
CHURCH,Non-Residential
SER STA 2BY,Residential
FUNERAL HM,Non-Residential
CTY/TN HALL,Non-Residential
CONVER CONDO,Residential
GARDEN CONDO,Residential
OTH FEDERAL,Non-Residential
LIBRARY,Non-Residential
DWNTWN OFC,Non-Residential
COMM BLOCK,Non-Residential
RESTAURANT,Non-Residential
APARTMENTS,Residential
PARKING GAR,Non-Residential
BRNCH BANK,Non-Residential
FINCL INST,Non-Residential
FFD REST,Non-Residential
RETAIL CONDO,Non-Residential
SER STA 3BY,Non-Residential
OFC CONDO,Non-Residential
TWNHSE CONDO,Residential
DRY CLN/LND,Non-Residential
OTHER STATE,Non-Residential
SHP CNTR LO,Non-Residential
MILL,Non-Residential
ELDERLY HM,Residential
PRE ENG WH,Non-Residential
GAR/OFC,Non-Residential
COMMERCIAL,Non-Residential
CAMPS,Non-Residential
POLICE STA,Non-Residential
SUPERMRKT,Non-Residential
BOWLING AL,Non-Residential
TRCK TERMNL,Non-Residential
TELEPH BLDG,Residential
HVY INDSTRL,Non-Residential
SER STA 1BY,Residential
NRSING HM,Residential
SINGLE CONDO,Residential
HOTEL,Non-Residential
PROF BLDG,Non-Residential
OFC A,Non-Residential
FIRE STATION,Non-Residential
COIN-OP CAR,Non-Residential
OUTBUILDINGS,Non-Residential
RESRCH&DEV,Non-Residential
MOBL HOME,Residential
DORMITORY,Residential
INDUST CONDO,Non-Residential
PRE ENG MF,Non-Residential
CONDO,Residential
