PCL_ID,retrofit_year
2A-009-0QV,2025
2A-010-0QW,2029
2A-011-0QX,2028
2A-012-0QY,2031
2A-013-0QZ,2038
2A-014-47A,2035
05-084-Q27+,2032
05-076-QK1,2027
05-077-QL1,2032
05-078-QM1,2028
05-079-QM2,2027
05-081-QN1,2028
05-080-QN2,2025
05-082-QP1,2030
05-083-QQ1,2031
05-087-QSA,2029
05-088-QTA,2035
05-089-QUA,2030
05-090-QUB,2033
05-074-Q14,2030
05-075-Q15,2037
05-065-0QA,2037
05-066-0QB,2036
05-067-0QC,2031
05-068-0QD,2039
05-069-0QE,2027
05-070-0QF,2034
05-071-0QG,2035
05-072-0QH,2028
05-073-0QJ,2032
05-086-0QR,2030
