year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2024,836.5735019999997,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,1420.8245242399996,IL_1224309006,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,1894.7836808151285,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224309006,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,0.0,IL_1224309006,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224309006,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224309006,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224309006,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
