year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2024,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2025,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2026,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2027,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2028,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2029,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2030,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2031,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2032,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2033,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2034,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2035,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2036,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2037,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2038,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2039,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2040,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2041,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2042,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2043,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2044,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2045,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2046,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2047,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2048,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2049,0.0,IL_1224309006,electricity,building,building_aggregate,continued_gas
2024,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2025,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2026,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2027,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2028,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2029,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2030,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2031,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2032,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2033,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2034,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2035,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2036,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2037,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2038,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2039,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2040,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2041,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2042,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2043,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2044,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2045,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2046,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2047,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2048,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2049,6.515272793160529,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2037,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2038,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2039,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2040,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2041,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2042,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2043,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2044,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2045,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2046,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2047,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2048,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2049,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2024,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2025,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2026,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2027,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2028,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2029,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2030,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2031,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2032,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2033,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2034,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2035,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2036,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2037,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2038,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2039,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2040,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2041,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2042,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2043,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2044,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2045,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2046,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2047,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2048,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2049,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2024,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2025,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2026,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2027,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2028,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2029,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2030,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2031,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2032,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2033,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2034,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2035,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2036,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2037,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2038,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2039,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2040,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2041,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
2042,0.0,IL_1224309015,electricity,building,building_aggregate,continued_gas
