year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2024,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2025,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2026,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2027,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2028,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2029,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2030,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2031,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2032,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2033,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2034,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2035,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2036,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2037,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2038,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2039,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2040,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2041,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2042,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2043,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2044,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2045,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2046,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2047,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2048,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2049,5294.768999999998,IL_1224309006,electricity,building,building_aggregate,continued_gas
2024,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2025,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2026,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2027,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2028,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2029,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2030,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2031,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2032,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2033,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2034,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2035,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2036,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2037,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2038,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2039,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2040,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2041,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2042,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2043,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2044,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2045,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2046,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
2047,32668.684151984973,IL_1224309006,natural_gas,building,building_aggregate,continued_gas
