year,is_retrofit,asset_id,asset_domain,asset_type,scenario
2024,False,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2025,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2026,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2027,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2028,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2029,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2030,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2031,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2032,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2033,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2034,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2035,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2036,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2037,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2038,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2039,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2040,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2041,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2042,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2043,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2044,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2045,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2046,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2047,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2048,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2049,True,IL_1224309006,building,building_aggregate,managed_elec_upgrade_7
2024,False,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2025,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2026,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2027,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2028,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2029,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2030,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2031,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2032,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2033,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2034,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2035,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2036,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2037,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2038,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2039,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2040,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2041,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2042,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2043,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2044,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2045,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2046,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2047,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2048,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2049,True,IL_1224309015,building,building_aggregate,managed_elec_upgrade_7
2024,False,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2025,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2026,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2027,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2028,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2029,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2030,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2031,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2032,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2033,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2034,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2035,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2036,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2037,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2038,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2039,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2040,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2041,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2042,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2043,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2044,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2045,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2046,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2047,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2048,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2049,True,IL_1224308038,building,building_aggregate,managed_elec_upgrade_7
2024,False,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2025,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2026,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2027,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2028,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2029,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2030,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2031,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2032,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2033,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2034,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2035,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2036,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2037,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2038,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2039,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2040,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2041,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2042,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2043,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2044,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2045,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2046,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2047,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2048,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2049,True,IL_1224308031,building,building_aggregate,managed_elec_upgrade_7
2024,False,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2025,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2026,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2027,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2028,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2029,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2030,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2031,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2032,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2033,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2034,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2035,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2036,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2037,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2038,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2039,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2040,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2041,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2042,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2043,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2044,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2045,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2046,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2047,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2048,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2049,True,IL_1224308029,building,building_aggregate,managed_elec_upgrade_7
2024,False,IL_1224309013,building,building_aggregate,managed_elec_upgrade_7
