year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2024,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2025,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2026,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2027,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2028,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2029,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2030,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2031,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2032,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2033,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2034,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2035,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2036,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2037,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2038,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2039,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2040,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2041,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2042,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2043,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2044,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2045,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2046,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2047,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2048,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2049,39.13712226724255,TB001,electricity,elec_network,elec_xmfr,continued_gas
2024,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2025,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2026,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2027,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2028,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2029,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2030,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2031,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2032,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2033,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2034,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2035,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2036,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2037,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2038,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2039,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2040,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2041,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2042,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2043,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2044,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2045,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2046,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2047,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2048,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2049,21.551828181818177,TB002,electricity,elec_network,elec_xmfr,continued_gas
2024,23.91143917582417,TB003,electricity,elec_network,elec_xmfr,continued_gas
2025,23.91143917582417,TB003,electricity,elec_network,elec_xmfr,continued_gas
2026,23.91143917582417,TB003,electricity,elec_network,elec_xmfr,continued_gas
2027,23.91143917582417,TB003,electricity,elec_network,elec_xmfr,continued_gas
2028,23.91143917582417,TB003,electricity,elec_network,elec_xmfr,continued_gas
