year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2020,5580.726939771697,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2021,5580.726939771697,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2022,5580.726939771697,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2023,5580.726939771697,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2024,5580.726939771697,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2025,5625.194883514898,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2026,8987.294577396218,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2027,9022.677626913526,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2028,9058.060676430834,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2029,9128.82677546545,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2030,9164.209824982758,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2031,9199.592874500067,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2032,9270.358973534683,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2033,9305.742023051993,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2034,9341.1250725693,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2035,9411.891171603917,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2036,9447.274221121224,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2037,9518.040320155838,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2038,9553.423369673146,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2039,9624.189468707762,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2040,9659.57251822507,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2041,9730.338617259686,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2042,9765.721666776994,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2043,9836.48776581161,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2044,9871.87081532892,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2045,9942.636914363537,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2046,9978.01996388084,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2047,10048.786062915457,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2048,10084.169112432764,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2049,10154.93521146738,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2050,10225.701310501996,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2051,10261.084360019304,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2052,10331.85045905392,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2053,10367.233508571228,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2054,10437.999607605843,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2055,10508.76570664046,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2056,10579.531805675077,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2057,10614.914855192384,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2058,10685.680954227,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2059,10756.447053261616,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2060,10827.213152296232,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2061,10862.59620181354,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2062,10933.362300848155,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2063,11004.128399882771,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2064,11074.894498917389,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2065,11145.660597952005,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2020,4117.838227191797,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2021,4117.838227191797,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2022,4117.838227191797,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2023,4117.838227191797,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2024,4117.838227191797,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2025,5813.418673682537,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2026,2327.5166039202404,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2027,2390.422458080247,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2028,2484.7812393202566,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2029,2547.6870934802632,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2030,2610.59294764027,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2031,2673.4988018002764,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2032,2767.857583040286,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2033,2862.216364280296,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2034,2925.1222184403023,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2035,3019.480999680312,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2036,3113.839780920322,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2037,3208.198562160331,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2038,3334.0102704803444,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2039,3428.369051720354,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2040,3554.180760040367,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2041,3648.539541280377,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2042,3774.35124960039,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2043,3900.162957920403,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2044,4057.4275933204194,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2045,4183.239301640432,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2046,4340.503937040449,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2047,4466.3156453604615,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2048,4655.033207840481,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2049,4812.297843240497,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2050,4969.562478640513,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2051,5158.2800411205335,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2052,5346.997603600553,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2053,5567.168093160575,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2054,5755.885655640594,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2055,5976.056145200618,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2056,6196.22663476064,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2057,6447.8500514006655,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2058,6699.473468040692,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2059,6951.096884680718,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2060,7234.173228400748,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2061,7517.249572120776,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2062,7831.778842920809,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2063,8146.308113720842,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2064,8460.837384520875,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2065,8806.81958240091,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2020,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2021,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2022,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2023,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2024,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2025,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2026,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2027,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2028,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2029,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2030,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2031,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2032,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2033,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2034,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2035,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2036,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2037,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2038,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2039,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2040,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2041,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2042,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2043,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2044,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2045,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2046,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2047,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2048,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2049,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2050,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2051,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2052,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2053,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2054,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2055,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2056,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2057,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2058,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2059,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2060,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2061,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2062,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2063,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2064,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2065,0.0,F_753432_2717080,propane,building,building_aggregate,hybrid_gas
2020,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2021,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2022,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2023,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2024,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2025,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2026,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2027,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2028,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2029,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2030,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2031,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2032,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2033,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2034,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2035,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2036,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2037,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2038,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2039,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2040,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2041,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2042,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2043,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2044,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2045,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2046,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2047,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2048,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2049,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2050,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2051,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2052,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2053,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
