year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2020,10.005287342220177,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2021,10.005287342220177,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2022,10.005287342220177,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2023,10.005287342220177,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2024,9.70512872195357,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2025,9.413974860294962,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2026,14.531919278449497,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2027,14.09596170009601,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2028,13.67308284909313,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2029,13.262890363620336,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2030,12.865003652711726,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2031,12.479053543130371,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2032,12.104681936836462,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2033,11.741541478731367,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2034,11.389295234369426,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2035,11.047616377338342,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2036,10.716187886018192,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2037,10.394702249437646,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2038,10.082861181954517,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2039,9.780375346495882,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2040,9.486964086101004,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2041,9.202355163517977,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2042,8.926284508612435,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2043,8.658495973354063,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2044,8.39874109415344,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2045,8.146778861328837,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2046,7.902375495488971,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2047,7.665304230624302,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2048,7.435345103705573,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2049,7.212284750594405,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2050,6.995916208076572,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2051,6.786038721834275,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2052,6.582457560179246,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2053,6.384983833373869,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2054,6.193434318372652,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2055,6.007631288821472,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2056,5.827402350156827,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2057,5.652580279652123,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2058,5.483002871262559,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2059,5.318512785124682,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2060,5.158957401570941,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2061,5.004188679523812,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2062,4.854063019138097,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2063,4.708441128563954,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2064,4.567187894707035,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2065,4.4301722578658245,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2020,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2021,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2022,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2023,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2024,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2025,16.10275061707589,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2026,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2027,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2028,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2029,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2030,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2031,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2032,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2033,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2034,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2035,6.272808513383477,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
