year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2020,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2021,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2022,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2023,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2024,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2025,22233.971871600388,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2026,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2027,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2028,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2029,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2030,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2031,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2032,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2033,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2034,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2035,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2036,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2037,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2038,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2039,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2040,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2041,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2042,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2043,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2044,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2045,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2046,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2047,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2048,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2049,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2050,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2051,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2052,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2053,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2054,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2055,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2056,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2057,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2058,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2059,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2060,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2061,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2062,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2063,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2064,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2065,35383.04951730795,F_753432_2717080,electricity,building,building_aggregate,hybrid_gas
2020,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2021,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2022,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2023,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2024,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2025,80741.92602336858,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2026,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2027,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2028,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2029,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2030,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2031,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2032,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2033,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2034,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2035,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2036,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2037,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2038,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2039,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2040,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2041,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2042,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2043,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2044,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2045,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2046,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2047,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2048,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2049,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2050,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2051,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2052,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2053,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2054,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2055,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2056,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2057,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2058,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2059,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2060,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
2061,31452.92708000325,F_753432_2717080,natural_gas,building,building_aggregate,hybrid_gas
