year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2020,0.0,GS216,gas_network,gas_service,hybrid_gas
2021,0.0,GS216,gas_network,gas_service,hybrid_gas
2022,0.0,GS216,gas_network,gas_service,hybrid_gas
2023,0.0,GS216,gas_network,gas_service,hybrid_gas
2024,0.0,GS216,gas_network,gas_service,hybrid_gas
2025,0.0,GS216,gas_network,gas_service,hybrid_gas
2026,0.0,GS216,gas_network,gas_service,hybrid_gas
2027,0.0,GS216,gas_network,gas_service,hybrid_gas
2028,0.0,GS216,gas_network,gas_service,hybrid_gas
2029,0.0,GS216,gas_network,gas_service,hybrid_gas
2030,0.0,GS216,gas_network,gas_service,hybrid_gas
2031,0.0,GS216,gas_network,gas_service,hybrid_gas
2032,0.0,GS216,gas_network,gas_service,hybrid_gas
2033,0.0,GS216,gas_network,gas_service,hybrid_gas
2034,0.0,GS216,gas_network,gas_service,hybrid_gas
2035,0.0,GS216,gas_network,gas_service,hybrid_gas
2036,0.0,GS216,gas_network,gas_service,hybrid_gas
2037,0.0,GS216,gas_network,gas_service,hybrid_gas
2038,0.0,GS216,gas_network,gas_service,hybrid_gas
2039,0.0,GS216,gas_network,gas_service,hybrid_gas
2040,0.0,GS216,gas_network,gas_service,hybrid_gas
2041,0.0,GS216,gas_network,gas_service,hybrid_gas
2042,0.0,GS216,gas_network,gas_service,hybrid_gas
2043,0.0,GS216,gas_network,gas_service,hybrid_gas
2044,0.0,GS216,gas_network,gas_service,hybrid_gas
2045,0.0,GS216,gas_network,gas_service,hybrid_gas
2046,0.0,GS216,gas_network,gas_service,hybrid_gas
2047,0.0,GS216,gas_network,gas_service,hybrid_gas
2048,0.0,GS216,gas_network,gas_service,hybrid_gas
2049,0.0,GS216,gas_network,gas_service,hybrid_gas
2050,0.0,GS216,gas_network,gas_service,hybrid_gas
2051,0.0,GS216,gas_network,gas_service,hybrid_gas
2052,0.0,GS216,gas_network,gas_service,hybrid_gas
2053,0.0,GS216,gas_network,gas_service,hybrid_gas
2054,0.0,GS216,gas_network,gas_service,hybrid_gas
2055,0.0,GS216,gas_network,gas_service,hybrid_gas
2056,0.0,GS216,gas_network,gas_service,hybrid_gas
2057,0.0,GS216,gas_network,gas_service,hybrid_gas
2058,0.0,GS216,gas_network,gas_service,hybrid_gas
2059,0.0,GS216,gas_network,gas_service,hybrid_gas
2060,0.0,GS216,gas_network,gas_service,hybrid_gas
2061,0.0,GS216,gas_network,gas_service,hybrid_gas
2062,0.0,GS216,gas_network,gas_service,hybrid_gas
2063,0.0,GS216,gas_network,gas_service,hybrid_gas
2064,0.0,GS216,gas_network,gas_service,hybrid_gas
2065,0.0,GS216,gas_network,gas_service,hybrid_gas
2020,0.0,GS228,gas_network,gas_service,hybrid_gas
2021,0.0,GS228,gas_network,gas_service,hybrid_gas
2022,0.0,GS228,gas_network,gas_service,hybrid_gas
2023,0.0,GS228,gas_network,gas_service,hybrid_gas
2024,0.0,GS228,gas_network,gas_service,hybrid_gas
2025,0.0,GS228,gas_network,gas_service,hybrid_gas
2026,0.0,GS228,gas_network,gas_service,hybrid_gas
2027,0.0,GS228,gas_network,gas_service,hybrid_gas
2028,0.0,GS228,gas_network,gas_service,hybrid_gas
2029,0.0,GS228,gas_network,gas_service,hybrid_gas
2030,0.0,GS228,gas_network,gas_service,hybrid_gas
2031,0.0,GS228,gas_network,gas_service,hybrid_gas
2032,0.0,GS228,gas_network,gas_service,hybrid_gas
2033,0.0,GS228,gas_network,gas_service,hybrid_gas
2034,0.0,GS228,gas_network,gas_service,hybrid_gas
2035,0.0,GS228,gas_network,gas_service,hybrid_gas
2036,0.0,GS228,gas_network,gas_service,hybrid_gas
2037,0.0,GS228,gas_network,gas_service,hybrid_gas
2038,0.0,GS228,gas_network,gas_service,hybrid_gas
2039,0.0,GS228,gas_network,gas_service,hybrid_gas
2040,0.0,GS228,gas_network,gas_service,hybrid_gas
2041,0.0,GS228,gas_network,gas_service,hybrid_gas
2042,0.0,GS228,gas_network,gas_service,hybrid_gas
2043,0.0,GS228,gas_network,gas_service,hybrid_gas
2044,0.0,GS228,gas_network,gas_service,hybrid_gas
2045,0.0,GS228,gas_network,gas_service,hybrid_gas
2046,0.0,GS228,gas_network,gas_service,hybrid_gas
2047,0.0,GS228,gas_network,gas_service,hybrid_gas
2048,0.0,GS228,gas_network,gas_service,hybrid_gas
2049,0.0,GS228,gas_network,gas_service,hybrid_gas
2050,0.0,GS228,gas_network,gas_service,hybrid_gas
2051,0.0,GS228,gas_network,gas_service,hybrid_gas
2052,0.0,GS228,gas_network,gas_service,hybrid_gas
2053,0.0,GS228,gas_network,gas_service,hybrid_gas
2054,0.0,GS228,gas_network,gas_service,hybrid_gas
2055,0.0,GS228,gas_network,gas_service,hybrid_gas
2056,0.0,GS228,gas_network,gas_service,hybrid_gas
2057,0.0,GS228,gas_network,gas_service,hybrid_gas
2058,0.0,GS228,gas_network,gas_service,hybrid_gas
2059,0.0,GS228,gas_network,gas_service,hybrid_gas
2060,0.0,GS228,gas_network,gas_service,hybrid_gas
2061,0.0,GS228,gas_network,gas_service,hybrid_gas
2062,0.0,GS228,gas_network,gas_service,hybrid_gas
2063,0.0,GS228,gas_network,gas_service,hybrid_gas
2064,0.0,GS228,gas_network,gas_service,hybrid_gas
2065,0.0,GS228,gas_network,gas_service,hybrid_gas
2020,0.0,GS234,gas_network,gas_service,hybrid_gas
2021,0.0,GS234,gas_network,gas_service,hybrid_gas
2022,0.0,GS234,gas_network,gas_service,hybrid_gas
2023,0.0,GS234,gas_network,gas_service,hybrid_gas
2024,0.0,GS234,gas_network,gas_service,hybrid_gas
2025,0.0,GS234,gas_network,gas_service,hybrid_gas
2026,0.0,GS234,gas_network,gas_service,hybrid_gas
2027,0.0,GS234,gas_network,gas_service,hybrid_gas
2028,0.0,GS234,gas_network,gas_service,hybrid_gas
2029,0.0,GS234,gas_network,gas_service,hybrid_gas
2030,0.0,GS234,gas_network,gas_service,hybrid_gas
2031,0.0,GS234,gas_network,gas_service,hybrid_gas
2032,0.0,GS234,gas_network,gas_service,hybrid_gas
2033,0.0,GS234,gas_network,gas_service,hybrid_gas
2034,0.0,GS234,gas_network,gas_service,hybrid_gas
2035,0.0,GS234,gas_network,gas_service,hybrid_gas
2036,0.0,GS234,gas_network,gas_service,hybrid_gas
2037,0.0,GS234,gas_network,gas_service,hybrid_gas
2038,0.0,GS234,gas_network,gas_service,hybrid_gas
2039,0.0,GS234,gas_network,gas_service,hybrid_gas
2040,0.0,GS234,gas_network,gas_service,hybrid_gas
2041,0.0,GS234,gas_network,gas_service,hybrid_gas
2042,0.0,GS234,gas_network,gas_service,hybrid_gas
2043,0.0,GS234,gas_network,gas_service,hybrid_gas
2044,0.0,GS234,gas_network,gas_service,hybrid_gas
2045,0.0,GS234,gas_network,gas_service,hybrid_gas
2046,0.0,GS234,gas_network,gas_service,hybrid_gas
2047,0.0,GS234,gas_network,gas_service,hybrid_gas
2048,0.0,GS234,gas_network,gas_service,hybrid_gas
2049,0.0,GS234,gas_network,gas_service,hybrid_gas
2050,0.0,GS234,gas_network,gas_service,hybrid_gas
2051,0.0,GS234,gas_network,gas_service,hybrid_gas
2052,0.0,GS234,gas_network,gas_service,hybrid_gas
2053,0.0,GS234,gas_network,gas_service,hybrid_gas
2054,0.0,GS234,gas_network,gas_service,hybrid_gas
2055,0.0,GS234,gas_network,gas_service,hybrid_gas
2056,0.0,GS234,gas_network,gas_service,hybrid_gas
2057,0.0,GS234,gas_network,gas_service,hybrid_gas
2058,0.0,GS234,gas_network,gas_service,hybrid_gas
2059,0.0,GS234,gas_network,gas_service,hybrid_gas
2060,0.0,GS234,gas_network,gas_service,hybrid_gas
2061,0.0,GS234,gas_network,gas_service,hybrid_gas
2062,0.0,GS234,gas_network,gas_service,hybrid_gas
2063,0.0,GS234,gas_network,gas_service,hybrid_gas
2064,0.0,GS234,gas_network,gas_service,hybrid_gas
2065,0.0,GS234,gas_network,gas_service,hybrid_gas
2020,0.0,GS235,gas_network,gas_service,hybrid_gas
2021,0.0,GS235,gas_network,gas_service,hybrid_gas
2022,0.0,GS235,gas_network,gas_service,hybrid_gas
2023,0.0,GS235,gas_network,gas_service,hybrid_gas
2024,0.0,GS235,gas_network,gas_service,hybrid_gas
2025,0.0,GS235,gas_network,gas_service,hybrid_gas
2026,0.0,GS235,gas_network,gas_service,hybrid_gas
2027,0.0,GS235,gas_network,gas_service,hybrid_gas
2028,0.0,GS235,gas_network,gas_service,hybrid_gas
2029,0.0,GS235,gas_network,gas_service,hybrid_gas
2030,0.0,GS235,gas_network,gas_service,hybrid_gas
2031,0.0,GS235,gas_network,gas_service,hybrid_gas
2032,0.0,GS235,gas_network,gas_service,hybrid_gas
2033,0.0,GS235,gas_network,gas_service,hybrid_gas
2034,0.0,GS235,gas_network,gas_service,hybrid_gas
2035,0.0,GS235,gas_network,gas_service,hybrid_gas
2036,0.0,GS235,gas_network,gas_service,hybrid_gas
2037,0.0,GS235,gas_network,gas_service,hybrid_gas
2038,0.0,GS235,gas_network,gas_service,hybrid_gas
2039,0.0,GS235,gas_network,gas_service,hybrid_gas
2040,0.0,GS235,gas_network,gas_service,hybrid_gas
2041,0.0,GS235,gas_network,gas_service,hybrid_gas
2042,0.0,GS235,gas_network,gas_service,hybrid_gas
2043,0.0,GS235,gas_network,gas_service,hybrid_gas
2044,0.0,GS235,gas_network,gas_service,hybrid_gas
2045,0.0,GS235,gas_network,gas_service,hybrid_gas
2046,0.0,GS235,gas_network,gas_service,hybrid_gas
2047,0.0,GS235,gas_network,gas_service,hybrid_gas
2048,0.0,GS235,gas_network,gas_service,hybrid_gas
2049,0.0,GS235,gas_network,gas_service,hybrid_gas
2050,0.0,GS235,gas_network,gas_service,hybrid_gas
2051,0.0,GS235,gas_network,gas_service,hybrid_gas
2052,0.0,GS235,gas_network,gas_service,hybrid_gas
2053,0.0,GS235,gas_network,gas_service,hybrid_gas
2054,0.0,GS235,gas_network,gas_service,hybrid_gas
2055,0.0,GS235,gas_network,gas_service,hybrid_gas
2056,0.0,GS235,gas_network,gas_service,hybrid_gas
2057,0.0,GS235,gas_network,gas_service,hybrid_gas
2058,0.0,GS235,gas_network,gas_service,hybrid_gas
2059,0.0,GS235,gas_network,gas_service,hybrid_gas
2060,0.0,GS235,gas_network,gas_service,hybrid_gas
2061,0.0,GS235,gas_network,gas_service,hybrid_gas
2062,0.0,GS235,gas_network,gas_service,hybrid_gas
2063,0.0,GS235,gas_network,gas_service,hybrid_gas
2064,0.0,GS235,gas_network,gas_service,hybrid_gas
2065,0.0,GS235,gas_network,gas_service,hybrid_gas
2020,0.0,GS254,gas_network,gas_service,hybrid_gas
2021,0.0,GS254,gas_network,gas_service,hybrid_gas
2022,0.0,GS254,gas_network,gas_service,hybrid_gas
2023,0.0,GS254,gas_network,gas_service,hybrid_gas
2024,0.0,GS254,gas_network,gas_service,hybrid_gas
2025,0.0,GS254,gas_network,gas_service,hybrid_gas
2026,0.0,GS254,gas_network,gas_service,hybrid_gas
2027,0.0,GS254,gas_network,gas_service,hybrid_gas
2028,0.0,GS254,gas_network,gas_service,hybrid_gas
2029,0.0,GS254,gas_network,gas_service,hybrid_gas
2030,0.0,GS254,gas_network,gas_service,hybrid_gas
2031,0.0,GS254,gas_network,gas_service,hybrid_gas
2032,0.0,GS254,gas_network,gas_service,hybrid_gas
2033,0.0,GS254,gas_network,gas_service,hybrid_gas
2034,0.0,GS254,gas_network,gas_service,hybrid_gas
2035,0.0,GS254,gas_network,gas_service,hybrid_gas
2036,0.0,GS254,gas_network,gas_service,hybrid_gas
2037,0.0,GS254,gas_network,gas_service,hybrid_gas
2038,0.0,GS254,gas_network,gas_service,hybrid_gas
2039,0.0,GS254,gas_network,gas_service,hybrid_gas
2040,0.0,GS254,gas_network,gas_service,hybrid_gas
2041,0.0,GS254,gas_network,gas_service,hybrid_gas
2042,0.0,GS254,gas_network,gas_service,hybrid_gas
2043,0.0,GS254,gas_network,gas_service,hybrid_gas
2044,0.0,GS254,gas_network,gas_service,hybrid_gas
2045,0.0,GS254,gas_network,gas_service,hybrid_gas
2046,0.0,GS254,gas_network,gas_service,hybrid_gas
2047,0.0,GS254,gas_network,gas_service,hybrid_gas
2048,0.0,GS254,gas_network,gas_service,hybrid_gas
2049,0.0,GS254,gas_network,gas_service,hybrid_gas
2050,0.0,GS254,gas_network,gas_service,hybrid_gas
2051,0.0,GS254,gas_network,gas_service,hybrid_gas
2052,0.0,GS254,gas_network,gas_service,hybrid_gas
2053,0.0,GS254,gas_network,gas_service,hybrid_gas
2054,0.0,GS254,gas_network,gas_service,hybrid_gas
2055,0.0,GS254,gas_network,gas_service,hybrid_gas
2056,0.0,GS254,gas_network,gas_service,hybrid_gas
2057,0.0,GS254,gas_network,gas_service,hybrid_gas
2058,0.0,GS254,gas_network,gas_service,hybrid_gas
2059,0.0,GS254,gas_network,gas_service,hybrid_gas
2060,0.0,GS254,gas_network,gas_service,hybrid_gas
2061,0.0,GS254,gas_network,gas_service,hybrid_gas
2062,0.0,GS254,gas_network,gas_service,hybrid_gas
2063,0.0,GS254,gas_network,gas_service,hybrid_gas
2064,0.0,GS254,gas_network,gas_service,hybrid_gas
2065,0.0,GS254,gas_network,gas_service,hybrid_gas
2020,0.0,GS273,gas_network,gas_service,hybrid_gas
2021,0.0,GS273,gas_network,gas_service,hybrid_gas
2022,0.0,GS273,gas_network,gas_service,hybrid_gas
2023,0.0,GS273,gas_network,gas_service,hybrid_gas
2024,0.0,GS273,gas_network,gas_service,hybrid_gas
2025,0.0,GS273,gas_network,gas_service,hybrid_gas
2026,0.0,GS273,gas_network,gas_service,hybrid_gas
2027,0.0,GS273,gas_network,gas_service,hybrid_gas
2028,0.0,GS273,gas_network,gas_service,hybrid_gas
2029,0.0,GS273,gas_network,gas_service,hybrid_gas
2030,0.0,GS273,gas_network,gas_service,hybrid_gas
2031,0.0,GS273,gas_network,gas_service,hybrid_gas
2032,0.0,GS273,gas_network,gas_service,hybrid_gas
2033,0.0,GS273,gas_network,gas_service,hybrid_gas
2034,0.0,GS273,gas_network,gas_service,hybrid_gas
2035,0.0,GS273,gas_network,gas_service,hybrid_gas
2036,0.0,GS273,gas_network,gas_service,hybrid_gas
2037,0.0,GS273,gas_network,gas_service,hybrid_gas
2038,0.0,GS273,gas_network,gas_service,hybrid_gas
2039,0.0,GS273,gas_network,gas_service,hybrid_gas
2040,0.0,GS273,gas_network,gas_service,hybrid_gas
2041,0.0,GS273,gas_network,gas_service,hybrid_gas
2042,0.0,GS273,gas_network,gas_service,hybrid_gas
2043,0.0,GS273,gas_network,gas_service,hybrid_gas
2044,0.0,GS273,gas_network,gas_service,hybrid_gas
2045,0.0,GS273,gas_network,gas_service,hybrid_gas
2046,0.0,GS273,gas_network,gas_service,hybrid_gas
2047,0.0,GS273,gas_network,gas_service,hybrid_gas
2048,0.0,GS273,gas_network,gas_service,hybrid_gas
2049,0.0,GS273,gas_network,gas_service,hybrid_gas
2050,0.0,GS273,gas_network,gas_service,hybrid_gas
2051,0.0,GS273,gas_network,gas_service,hybrid_gas
2052,0.0,GS273,gas_network,gas_service,hybrid_gas
2053,0.0,GS273,gas_network,gas_service,hybrid_gas
2054,0.0,GS273,gas_network,gas_service,hybrid_gas
2055,0.0,GS273,gas_network,gas_service,hybrid_gas
2056,0.0,GS273,gas_network,gas_service,hybrid_gas
2057,0.0,GS273,gas_network,gas_service,hybrid_gas
2058,0.0,GS273,gas_network,gas_service,hybrid_gas
2059,0.0,GS273,gas_network,gas_service,hybrid_gas
2060,0.0,GS273,gas_network,gas_service,hybrid_gas
2061,0.0,GS273,gas_network,gas_service,hybrid_gas
2062,0.0,GS273,gas_network,gas_service,hybrid_gas
2063,0.0,GS273,gas_network,gas_service,hybrid_gas
2064,0.0,GS273,gas_network,gas_service,hybrid_gas
2065,0.0,GS273,gas_network,gas_service,hybrid_gas
2020,0.0,GS274,gas_network,gas_service,hybrid_gas
2021,0.0,GS274,gas_network,gas_service,hybrid_gas
2022,0.0,GS274,gas_network,gas_service,hybrid_gas
2023,0.0,GS274,gas_network,gas_service,hybrid_gas
2024,0.0,GS274,gas_network,gas_service,hybrid_gas
2025,0.0,GS274,gas_network,gas_service,hybrid_gas
2026,0.0,GS274,gas_network,gas_service,hybrid_gas
2027,0.0,GS274,gas_network,gas_service,hybrid_gas
2028,0.0,GS274,gas_network,gas_service,hybrid_gas
2029,0.0,GS274,gas_network,gas_service,hybrid_gas
2030,0.0,GS274,gas_network,gas_service,hybrid_gas
2031,0.0,GS274,gas_network,gas_service,hybrid_gas
2032,0.0,GS274,gas_network,gas_service,hybrid_gas
2033,0.0,GS274,gas_network,gas_service,hybrid_gas
2034,0.0,GS274,gas_network,gas_service,hybrid_gas
2035,0.0,GS274,gas_network,gas_service,hybrid_gas
2036,0.0,GS274,gas_network,gas_service,hybrid_gas
2037,0.0,GS274,gas_network,gas_service,hybrid_gas
2038,0.0,GS274,gas_network,gas_service,hybrid_gas
2039,0.0,GS274,gas_network,gas_service,hybrid_gas
2040,0.0,GS274,gas_network,gas_service,hybrid_gas
2041,0.0,GS274,gas_network,gas_service,hybrid_gas
2042,0.0,GS274,gas_network,gas_service,hybrid_gas
2043,0.0,GS274,gas_network,gas_service,hybrid_gas
2044,0.0,GS274,gas_network,gas_service,hybrid_gas
2045,0.0,GS274,gas_network,gas_service,hybrid_gas
2046,0.0,GS274,gas_network,gas_service,hybrid_gas
2047,0.0,GS274,gas_network,gas_service,hybrid_gas
2048,0.0,GS274,gas_network,gas_service,hybrid_gas
2049,0.0,GS274,gas_network,gas_service,hybrid_gas
2050,0.0,GS274,gas_network,gas_service,hybrid_gas
2051,0.0,GS274,gas_network,gas_service,hybrid_gas
2052,0.0,GS274,gas_network,gas_service,hybrid_gas
2053,0.0,GS274,gas_network,gas_service,hybrid_gas
2054,0.0,GS274,gas_network,gas_service,hybrid_gas
2055,0.0,GS274,gas_network,gas_service,hybrid_gas
2056,0.0,GS274,gas_network,gas_service,hybrid_gas
2057,0.0,GS274,gas_network,gas_service,hybrid_gas
2058,0.0,GS274,gas_network,gas_service,hybrid_gas
2059,0.0,GS274,gas_network,gas_service,hybrid_gas
2060,0.0,GS274,gas_network,gas_service,hybrid_gas
