year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2020,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2021,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2022,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2023,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2024,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2025,11.556336961875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2026,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2027,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2028,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2029,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2030,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2031,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2032,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2033,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2034,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2035,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2036,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2037,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2038,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2039,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2040,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2041,15.866603668875,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2042,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2043,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2044,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2045,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2046,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
2047,22.380059009625,TB201,electricity,elec_network,elec_xmfr,hybrid_gas
