year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2020,3299.5454687239767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2021,3299.5454687239767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2022,3299.5454687239767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2023,3299.5454687239767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2024,3299.5454687239767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2025,3325.8366676779524,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2026,3338.9822671549405,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2027,3352.127866631929,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2028,3365.273466108916,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2029,3391.5646650628923,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2030,3404.7102645398804,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2031,4561.81921021268,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2032,4596.910127214315,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2033,4614.455585715134,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2034,4632.001044215951,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2035,4667.091961217588,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2036,4684.637419718405,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2037,4719.728336720042,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2038,4737.273795220859,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2039,4772.364712222496,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2040,4789.910170723313,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2041,4825.00108772495,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2042,4842.546546225767,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2043,4877.637463227404,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2044,4895.182921728221,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2045,4930.273838729858,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2046,4947.819297230674,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2047,4982.910214232311,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2048,5000.455672733128,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2049,5035.546589734765,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2050,5070.637506736401,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2051,5088.182965237219,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2052,5123.273882238855,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2053,5140.819340739673,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2054,5175.910257741309,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2055,5211.001174742944,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2056,5246.092091744581,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2057,5263.637550245398,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2058,5298.728467247035,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2059,5333.819384248671,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2060,5368.9103012503065,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2061,5386.455759751125,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2062,5421.5466767527605,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2063,5456.637593754397,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2064,5491.728510756033,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2065,5526.819427757669,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2020,2230.5734235216014,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2021,2230.5734235216014,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2022,2230.5734235216014,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2023,2230.5734235216014,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2024,2230.5734235216014,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2025,3149.044833206967,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2026,3236.518300796049,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2027,3323.991768385132,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2028,3455.201969768756,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2029,3542.675437357838,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2030,3630.148904946921,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2031,2190.458113121873,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2032,2267.7683994673503,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2033,2345.078685812828,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2034,2396.6188767098133,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2035,2473.929163055292,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2036,2551.239449400769,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2037,2628.549735746247,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2038,2731.6301175402177,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2039,2808.940403885696,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2040,2912.020785679666,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2041,2989.331072025144,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2042,3092.4114538191143,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2043,3195.4918356130847,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2044,3324.342312855548,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2045,3427.4226946495187,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2046,3556.2731718919817,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2047,3659.353553685952,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2048,3813.9741263769074,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2049,3942.8246036193705,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2050,4071.675080861834,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2051,4226.29565355279,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2052,4380.916226243746,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2053,4561.306894383193,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2054,4715.927467074149,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2055,4896.318135213598,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2056,5076.708803353046,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2057,5282.869566940986,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2058,5489.030330528928,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2059,5695.191094116869,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2060,5927.121953153303,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2061,6159.052812189736,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2062,6416.753766674662,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2063,6674.454721159588,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2064,6932.155675644515,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2065,7215.626725577934,F_714592_2938902,natural_gas,building,building_aggregate,hybrid_gas
2020,0.0,F_714592_2938902,propane,building,building_aggregate,hybrid_gas
2021,0.0,F_714592_2938902,propane,building,building_aggregate,hybrid_gas
2022,0.0,F_714592_2938902,propane,building,building_aggregate,hybrid_gas
2023,0.0,F_714592_2938902,propane,building,building_aggregate,hybrid_gas
2024,0.0,F_714592_2938902,propane,building,building_aggregate,hybrid_gas
