year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2020,5.915519764644579,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2021,5.915519764644579,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2022,5.915519764644579,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2023,5.915519764644579,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2024,5.738054171705242,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2025,5.565912546554085,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2026,5.398935170157461,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2027,5.236967115052738,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2028,5.079858101601156,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2029,4.927462358553121,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2030,4.779638487796527,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2031,6.188011464737599,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2032,6.002371120795472,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2033,5.822299987171607,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2034,5.647630987556458,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2035,5.478202057929764,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2036,5.313855996191871,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2037,5.154440316306115,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2038,4.999807106816932,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2039,4.849812893612424,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2040,4.704318506804051,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2041,4.563188951599929,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2042,4.426293283051931,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2043,4.293504484560373,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2044,4.164699350023562,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2045,4.039758369522855,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2046,3.918565618437169,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2047,3.801008649884054,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2048,3.686978390387533,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2049,3.576369038675906,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2050,3.4690779675156285,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2051,3.3650056284901595,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2052,3.2640554596354545,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2053,3.166133795846391,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2054,3.0711497819709987,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
2055,2.9790152885118686,F_714592_2938902,electricity,building,building_aggregate,hybrid_gas
