year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2020,23.675805862979995,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2021,23.675805862979995,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2022,23.675805862979995,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2023,23.675805862979995,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2024,23.675805862979995,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2025,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2026,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2027,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2028,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2029,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2030,23.9473320407925,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2031,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2032,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2033,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2034,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2035,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2036,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2037,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2038,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2039,24.391807649503,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2040,26.205857724937,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2041,26.205857724937,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2042,26.205857724937,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2043,26.205857724937,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2044,26.205857724937,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2045,27.633670262495,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2046,27.633670262495,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2047,27.633670262495,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2048,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2049,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2050,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2051,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2052,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2053,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2054,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2055,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2056,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2057,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2058,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2059,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2060,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2061,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2062,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2063,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2064,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2065,29.246686865346,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2020,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2021,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2022,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2023,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2024,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2025,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2026,22.052420904559995,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2027,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2028,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2029,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2030,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2031,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2032,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2033,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2034,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2035,22.302707701352496,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2036,22.90955460797,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2037,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2038,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2039,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2040,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2041,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2042,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2043,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2044,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2045,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2046,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2047,24.98320696296,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2048,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2049,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2050,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2051,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2052,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2053,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2054,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2055,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2056,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2057,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2058,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2059,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2060,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2061,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2062,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2063,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2064,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2065,27.223068094495,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2020,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2021,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2022,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2023,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2024,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2025,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2026,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2027,18.963890238778,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2028,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2029,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2030,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2031,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2032,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2033,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2034,19.210556686533,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2035,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2036,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2037,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2038,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2039,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2040,19.830164415734,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2041,21.186744620487,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2042,21.186744620487,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2043,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2044,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2045,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2046,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2047,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2048,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2049,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2050,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2051,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2052,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2053,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2054,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2055,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2056,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2057,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2058,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2059,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2060,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2061,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2062,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2063,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2064,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2065,23.425022811293,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2020,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2021,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2022,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2023,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2024,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2025,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2026,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2027,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2028,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2029,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2030,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2031,21.247716412928,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
2032,21.4970377833105,TB004,electricity,elec_network,elec_xmfr,hybrid_gas
