year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2025,1117.794226,EX_001,electricity,building,building_aggregate,ex_uten
2026,1117.794226,EX_001,electricity,building,building_aggregate,ex_uten
2027,1117.794226,EX_001,electricity,building,building_aggregate,ex_uten
2028,1117.794226,EX_001,electricity,building,building_aggregate,ex_uten
2029,1117.794226,EX_001,electricity,building,building_aggregate,ex_uten
2030,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2031,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2032,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2033,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2034,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2035,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2036,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2037,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2038,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2039,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2040,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2041,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2042,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2043,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2044,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2045,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2046,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2047,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2048,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2049,1044.524254,EX_001,electricity,building,building_aggregate,ex_uten
2025,1295.9692250366184,EX_001,natural_gas,building,building_aggregate,ex_uten
2026,1295.9692250366184,EX_001,natural_gas,building,building_aggregate,ex_uten
2027,1295.9692250366184,EX_001,natural_gas,building,building_aggregate,ex_uten
2028,1295.9692250366184,EX_001,natural_gas,building,building_aggregate,ex_uten
2029,1295.9692250366184,EX_001,natural_gas,building,building_aggregate,ex_uten
2030,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2031,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2032,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2033,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2034,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2035,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2036,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2037,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2038,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2039,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2040,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2041,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2042,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2043,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
2044,0.0,EX_001,natural_gas,building,building_aggregate,ex_uten
