year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2025,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2029,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2030,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2031,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2032,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2033,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2034,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2035,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2036,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2037,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2038,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2039,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2040,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2041,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2042,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2043,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2044,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2045,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2046,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2047,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2048,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2049,0.0,EX_001,electricity,building,building_aggregate,ex_managed_elec_2
2025,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2029,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2030,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2031,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2032,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2033,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2034,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2035,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2036,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2037,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2038,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2039,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2040,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2041,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2042,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2043,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2044,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2045,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2046,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2047,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2048,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2049,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_2
2025,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2029,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2030,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2031,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2032,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2033,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2034,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2035,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2036,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2037,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2038,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2039,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2040,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2041,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2042,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2043,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2044,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2045,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2046,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2047,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2048,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2049,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_2
2025,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2029,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2030,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2031,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2032,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2033,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2034,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2035,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2036,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2037,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2038,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2039,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2040,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2041,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2042,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2043,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2044,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2045,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2046,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2047,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2048,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2049,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_2
2025,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2029,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2030,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2031,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2032,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2033,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2034,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2035,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2036,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2037,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2038,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2039,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2040,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2041,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2042,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2043,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2044,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2045,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2046,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2047,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2048,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2049,0.0,EX_002,electricity,building,building_aggregate,ex_managed_elec_2
2025,0.0,EX_002,natural_gas,building,building_aggregate,ex_managed_elec_2
2026,0.0,EX_002,natural_gas,building,building_aggregate,ex_managed_elec_2
2027,0.0,EX_002,natural_gas,building,building_aggregate,ex_managed_elec_2
2028,0.0,EX_002,natural_gas,building,building_aggregate,ex_managed_elec_2
