year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2025,7074.647,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,7074.647,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,7074.647,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,7074.647,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,7074.647,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2033,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2034,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2035,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2036,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2037,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2038,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2039,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2040,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2041,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2042,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2043,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2044,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2045,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2046,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2047,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2048,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2049,15375.982,EX_001,electricity,building,building_aggregate,ex_managed_elec_1_hp_rate
2025,22344.29698338997,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,22344.29698338997,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,22344.29698338997,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,22344.29698338997,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,22344.29698338997,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2033,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2034,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2035,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2036,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2037,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2038,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2039,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2040,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2041,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2042,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2043,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2044,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2045,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2046,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2047,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2048,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2049,0.0,EX_001,natural_gas,building,building_aggregate,ex_managed_elec_1_hp_rate
2025,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2033,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2034,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2035,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2036,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2037,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2038,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2039,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2040,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2041,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2042,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2043,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2044,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2045,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2046,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2047,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2048,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2049,0.0,EX_001,propane,building,building_aggregate,ex_managed_elec_1_hp_rate
2025,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2033,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2034,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2035,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2036,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2037,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2038,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2039,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2040,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2041,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
2042,0.0,EX_001,fuel_oil,building,building_aggregate,ex_managed_elec_1_hp_rate
