year,is_retrofit,asset_id,asset_domain,asset_type,scenario
2025,False,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,False,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,False,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,False,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,False,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2033,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2034,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2035,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2036,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2037,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2038,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2039,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2040,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2041,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2042,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2043,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2044,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2045,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2046,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2047,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2048,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2049,True,EX_001,building,building_aggregate,ex_managed_elec_1_hp_rate
2025,False,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2026,False,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2027,False,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2028,False,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2029,False,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2030,True,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2031,True,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
2032,True,EX_002,building,building_aggregate,ex_managed_elec_1_hp_rate
