year,leaks,asset_id,asset_domain,asset_type,scenario
2025,2.0,EX_001,building,building_aggregate,ex_uten
2026,2.0,EX_001,building,building_aggregate,ex_uten
2027,2.0,EX_001,building,building_aggregate,ex_uten
2028,2.0,EX_001,building,building_aggregate,ex_uten
2029,2.0,EX_001,building,building_aggregate,ex_uten
2030,0.0,EX_001,building,building_aggregate,ex_uten
2031,0.0,EX_001,building,building_aggregate,ex_uten
2032,0.0,EX_001,building,building_aggregate,ex_uten
2033,0.0,EX_001,building,building_aggregate,ex_uten
2034,0.0,EX_001,building,building_aggregate,ex_uten
2035,0.0,EX_001,building,building_aggregate,ex_uten
2036,0.0,EX_001,building,building_aggregate,ex_uten
2037,0.0,EX_001,building,building_aggregate,ex_uten
2038,0.0,EX_001,building,building_aggregate,ex_uten
2039,0.0,EX_001,building,building_aggregate,ex_uten
2040,0.0,EX_001,building,building_aggregate,ex_uten
2041,0.0,EX_001,building,building_aggregate,ex_uten
2042,0.0,EX_001,building,building_aggregate,ex_uten
2043,0.0,EX_001,building,building_aggregate,ex_uten
2044,0.0,EX_001,building,building_aggregate,ex_uten
2045,0.0,EX_001,building,building_aggregate,ex_uten
2046,0.0,EX_001,building,building_aggregate,ex_uten
2047,0.0,EX_001,building,building_aggregate,ex_uten
2048,0.0,EX_001,building,building_aggregate,ex_uten
2049,0.0,EX_001,building,building_aggregate,ex_uten
2025,2.0,EX_002,building,building_aggregate,ex_uten
2026,2.0,EX_002,building,building_aggregate,ex_uten
2027,2.0,EX_002,building,building_aggregate,ex_uten
2028,2.0,EX_002,building,building_aggregate,ex_uten
2029,2.0,EX_002,building,building_aggregate,ex_uten
2030,0.0,EX_002,building,building_aggregate,ex_uten
2031,0.0,EX_002,building,building_aggregate,ex_uten
2032,0.0,EX_002,building,building_aggregate,ex_uten
2033,0.0,EX_002,building,building_aggregate,ex_uten
2034,0.0,EX_002,building,building_aggregate,ex_uten
2035,0.0,EX_002,building,building_aggregate,ex_uten
2036,0.0,EX_002,building,building_aggregate,ex_uten
2037,0.0,EX_002,building,building_aggregate,ex_uten
2038,0.0,EX_002,building,building_aggregate,ex_uten
2039,0.0,EX_002,building,building_aggregate,ex_uten
2040,0.0,EX_002,building,building_aggregate,ex_uten
2041,0.0,EX_002,building,building_aggregate,ex_uten
2042,0.0,EX_002,building,building_aggregate,ex_uten
2043,0.0,EX_002,building,building_aggregate,ex_uten
2044,0.0,EX_002,building,building_aggregate,ex_uten
2045,0.0,EX_002,building,building_aggregate,ex_uten
2046,0.0,EX_002,building,building_aggregate,ex_uten
2047,0.0,EX_002,building,building_aggregate,ex_uten
2048,0.0,EX_002,building,building_aggregate,ex_uten
2049,0.0,EX_002,building,building_aggregate,ex_uten
2025,2.0,EX_003,building,building_aggregate,ex_uten
2026,2.0,EX_003,building,building_aggregate,ex_uten
2027,2.0,EX_003,building,building_aggregate,ex_uten
2028,2.0,EX_003,building,building_aggregate,ex_uten
2029,2.0,EX_003,building,building_aggregate,ex_uten
2030,0.0,EX_003,building,building_aggregate,ex_uten
2031,0.0,EX_003,building,building_aggregate,ex_uten
2032,0.0,EX_003,building,building_aggregate,ex_uten
2033,0.0,EX_003,building,building_aggregate,ex_uten
2034,0.0,EX_003,building,building_aggregate,ex_uten
2035,0.0,EX_003,building,building_aggregate,ex_uten
2036,0.0,EX_003,building,building_aggregate,ex_uten
2037,0.0,EX_003,building,building_aggregate,ex_uten
2038,0.0,EX_003,building,building_aggregate,ex_uten
2039,0.0,EX_003,building,building_aggregate,ex_uten
2040,0.0,EX_003,building,building_aggregate,ex_uten
2041,0.0,EX_003,building,building_aggregate,ex_uten
2042,0.0,EX_003,building,building_aggregate,ex_uten
2043,0.0,EX_003,building,building_aggregate,ex_uten
2044,0.0,EX_003,building,building_aggregate,ex_uten
2045,0.0,EX_003,building,building_aggregate,ex_uten
2046,0.0,EX_003,building,building_aggregate,ex_uten
2047,0.0,EX_003,building,building_aggregate,ex_uten
